year,optimized,provided,benchmark
2016,-0.028093925007878662,-0.026388340517281006,0.04082232913114758
2017,0.23077273787984942,0.27110033251340204,0.217054203961067
2018,-0.012748971171864576,-0.06605728117834597,-0.04569009857029771
2019,0.26271418539314895,0.3391590693992399,0.31223852302976596
2020,0.29271013196848994,0.3520035647548083,0.18331638325871458
2021,0.16807383745683757,0.18307102759928395,0.2872876069678876
2022,-0.10397918588143429,-0.14800591923305584,-0.18175355707528462
2023,0.24001786017035776,0.2722630263381953,0.2617577783124516
2024,0.3356266926513618,0.2612784234548087,0.24886476304115313
2025,0.35160103660268716,0.4410508990331794,0.17719055511914727
2026,0.12454186706628945,0.18507710914042597,0.09342964967795542
