date,asset_QQQ,asset_SPMO,asset_277540,asset_GLD,asset_XLE,asset_144600,optimized,provided,benchmark
2017-09-30,0.016925594539276556,0.032295541317286736,0.01778636040247994,-0.01443387268246843,0.12379039713574325,-0.02817246447819699,0.012343491827473662,0.029199596129693677,0.04048815839179176
2017-10-31,0.025533882554995113,0.05664317648903028,0.02955861793489123,-0.02696372008011061,-0.02778626249631133,-0.001260398285858333,0.006014520997471134,0.015147075453782065,0.0034757263825033746
2017-11-30,-0.019121223809976495,-0.012947744163121389,-0.019301648884578082,-0.03466024427485548,-0.021232383751422446,-0.022715800100959083,-0.024984196311102234,-0.02074084751729358,-0.008686070919426192
2017-12-31,0.005635652490259879,0.002392601601731492,0.002868163386410938,0.00777649178041484,0.04880739438376147,0.011621900826446208,0.00822831476719906,0.01166811854133466,0.0016661726151936396
2018-01-31,0.07982298873931404,0.07308800313276054,0.08717948717948709,0.03809449196655801,0.03186957743013097,0.019147306612203208,0.0549237540879777,0.06309339606538289,0.059371724632486744
2018-02-28,-0.006623826497691998,0.0013441483547329547,-0.04009433962264153,-0.01450580379687727,-0.1026555408397204,-0.0410821643286573,-0.013683478950926174,-0.02736077913367975,-0.03020608386449697
2018-03-31,-0.05624235883464268,-0.05501668194257636,-0.023908523908523938,-0.009892779000364449,0.0008419884516737142,-0.009143155694879779,-0.030167057092849954,-0.03327709899223427,-0.04307978578254801
2018-04-30,0.012108971142546832,0.02125373249168594,0.009487849743440746,-0.002591646928578939,0.10262223981164409,0.006591088847877735,0.012851613292158396,0.02464075867747101,0.01221975694112043
2018-05-31,0.06710445693399691,0.049738285330686915,-0.015440682842620124,-0.002258495292760343,0.0400538493838416,0.0,0.026976601577119976,0.03343219483360562,0.03436573822786526
2018-06-30,0.04946617417277088,0.037461963228912154,-0.02123514513929481,7.702618975224951e-05,0.04349455061728169,-0.02488213724463073,0.021764349615852805,0.02443860278554303,0.04355226502641396
2018-07-31,0.020312913636058694,0.02765123438984385,0.005772292993630579,-0.029694965756958847,0.007979884239345258,-0.04297609454740803,-0.0024838949397533606,0.007083897962818526,0.029327455875348685
2018-08-31,0.060897538485810365,0.04763042471959,-0.000494755590738194,-0.01852145921337256,-0.031930272488068456,-0.057255122088127997,0.01328914699685014,0.017290617291427824,0.03493555123792058
2018-09-30,-0.005623310873972831,0.010813675286974522,-0.010593010593010543,-0.009403659365775696,0.0215758631506493,-0.02828222685323012,-0.0011488191058871458,-0.0007014905686789917,0.0031136232701232114
2018-10-31,-0.06509299735072316,-0.07747539731316777,-0.10406243746247745,0.04450553933722201,-0.09304165786470164,0.010723039215686292,-0.017237062493090483,-0.05737661010555975,-0.04785519395971216
