kind,label,expected_return,volatility,sharpe,weight_133690,weight_402970,weight_069500,weight_168580,weight_200250,weight_101280,weight_TLT,weight_385560,weight_132030
provided,Provided Portfolio,0.08770252173447095,0.09952451975920878,0.4954326257243931,0.1,0.1,0.08,0.085,0.085,0.05,0.15,0.15,0.2
optimized,Optimized Portfolio,0.17427293341264624,0.10999997317430622,1.235255808754849,0.2464631948551821,0.2780947185517777,0.06940732277075133,0.0,0.0,0.0,0.0,0.0,0.4060343999362684
benchmark,Benchmark,0.16581397690591781,0.1430220467847578,0.890905648354141,,,,,,,,,
