portfolio,rank,start,bottom,recovery,maximum_drawdown,duration_months,decline_months,recovery_months,underwater_months,annualized_recovery_rate
Current Portfolio,1,2026-07-31,2026-07-31,,-0.1045851526207695,2,1,,2,
Current Portfolio,2,2022-04-30,2022-06-30,2023-03-31,-0.0828914467780022,12,3,9.0,12,0.1222915031764884
Current Portfolio,3,2022-01-31,2022-01-31,2022-03-31,-0.0351737583876196,3,1,2.0,3,0.23966790620124612
Current Portfolio,4,2023-09-30,2023-10-31,2023-11-30,-0.01909959111149717,3,2,1.0,3,0.2603785782198791
Current Portfolio,5,2025-04-30,2025-04-30,2025-06-30,-0.018806332976221363,3,1,2.0,3,0.12065409207029121
Current Portfolio,6,2026-03-31,2026-03-31,2026-04-30,-0.016247257829167694,2,1,1.0,2,0.21721845582067534
Current Portfolio,7,2024-07-31,2024-08-31,2024-09-30,-0.014864079485617632,3,2,1.0,3,0.19686768727416304
Current Portfolio,8,2023-05-31,2023-05-31,2023-06-30,-0.009471622472895791,2,1,1.0,2,0.12097760103641209
Current Portfolio,9,2025-12-31,2025-12-31,2026-01-31,-0.008328304010961629,2,1,1.0,2,0.10556679174879546
KAW Native Proxy,1,2022-01-31,2022-12-31,2024-02-29,-0.13834181894654607,26,12,14.0,26,0.1361276497357773
KAW Native Proxy,2,2026-06-30,2026-07-31,,-0.0893930100334962,3,2,,3,
KAW Native Proxy,3,2026-03-31,2026-03-31,2026-05-31,-0.05300697923396391,3,1,2.0,3,0.38649826393253184
KAW Native Proxy,4,2025-04-30,2025-05-31,2025-07-31,-0.013913600711661478,4,2,2.0,4,0.08770265167930624
KAW Native Proxy,5,2024-08-31,2024-08-31,2024-09-30,-0.008826679250582448,2,1,1.0,2,0.11225599615350479
QQQ 100%,1,2022-01-31,2022-12-31,2023-06-30,-0.278234388925815,18,12,6.0,18,0.9195862391901475
QQQ 100%,2,2026-07-31,2026-07-31,,-0.14296595749996888,2,1,,2,
QQQ 100%,3,2025-01-31,2025-04-30,2025-07-31,-0.10723151430753664,7,4,3.0,7,0.574144492042427
QQQ 100%,4,2023-09-30,2023-10-31,2023-11-30,-0.053961651630359486,3,2,1.0,3,0.9457861397264398
QQQ 100%,5,2024-07-31,2024-08-31,2024-10-31,-0.044681337064605864,4,2,2.0,4,0.3155592944226213
QQQ 100%,6,2025-12-31,2026-03-31,2026-04-30,-0.03874885612900647,5,4,1.0,5,0.6067842448552743
QQQ 100%,7,2024-04-30,2024-04-30,2024-05-31,-0.018474665877850183,2,1,1.0,2,0.25078261516902844
benchmark,1,2022-01-31,2022-06-30,2023-04-30,-0.1340306703767431,16,6,10.0,16,0.18849398240850168
benchmark,2,2025-02-28,2025-04-30,2025-07-31,-0.08727139198411615,6,3,3.0,6,0.440898363029367
benchmark,3,2026-07-31,2026-07-31,,-0.08234183406494822,2,1,,2,
benchmark,4,2023-09-30,2023-10-31,2023-12-31,-0.051630187871911204,4,2,2.0,4,0.37446495765043486
benchmark,5,2025-12-31,2026-03-31,2026-04-30,-0.015483721436609477,5,4,1.0,5,0.20593856301340652
benchmark,6,2024-04-30,2024-04-30,2024-05-31,-0.014966215822457163,2,1,1.0,2,0.19835774888681734
benchmark,7,2023-05-31,2023-05-31,2023-06-30,-0.00862244003544621,2,1,1.0,2,0.1095094050020069
benchmark,8,2024-07-31,2024-08-31,2024-09-30,-0.004621112358154877,3,2,1.0,3,0.05715556547418599
benchmark,9,2023-07-31,2023-07-31,2023-08-31,-0.002500989304618506,2,1,1.0,2,0.030505505650458842
