asset,Current Portfolio,KAW Native Proxy,QQQ 100%
QQQ,0.5163810220541566,0.0,1.0
SPMO,0.20929646707086177,0.0,0.0
AIA,0.0526588475023966,0.0,0.0
XLE,0.018989239745941078,-0.0,-0.0
SCHD,0.03191769119767426,0.0,0.0
GLD,0.17172323686388408,0.15854552642977232,-0.0
138920,-0.0009665044349145014,-0.0,-0.0
133690,0.0,0.1329430980605267,0.0
402970,0.0,0.055925188913636424,0.0
069500,0.0,0.2151591233778995,0.0
192090,0.0,0.06012143834026503,0.0
200250,0.0,0.04951610364114612,0.0
101280,0.0,0.04691551221599318,0.0
267440,0.0,0.11011266378896943,0.0
385560,0.0,0.17076134523179137,0.0
