portfolio,normalized_underwater_duration_months_per_10pct,completed_episode_count,episode_limit
Current Portfolio,15.829607861928665,8,10
KAW Native Proxy,20.726302915985052,4,10
QQQ 100%,7.7401076315446495,6,10
benchmark,18.279360917854444,8,10
