date,Current Portfolio_drawdown,KAW Native Proxy_drawdown,QQQ 100%_drawdown,benchmark_drawdown
2021-11-30,0.0,0.0,0.0,0.0
2021-12-31,0.0,0.0,0.0,0.0
2022-01-31,-0.0351737583876196,-0.04151600444749903,-0.10657742297126671,-0.03855484438632073
2022-02-28,-0.017514017307713736,-0.04009367166032651,-0.12357076041788073,-0.07475235256299995
2022-03-31,0.0,-0.0345058485863422,-0.06970754932858125,-0.026416505416789304
2022-04-30,-0.02926156348201636,-0.066448634371159,-0.15793962653178295,-0.06960652565544756
2022-05-31,-0.051790985664164624,-0.08691154422556491,-0.19119815224637016,-0.08989747604792997
2022-06-30,-0.0828914467780022,-0.1104518803187996,-0.23597039551862065,-0.1340306703767431
2022-07-31,-0.030246387755213044,-0.06888773113399216,-0.1351028432884369,-0.0488215367773176
2022-08-31,-0.02894137333592739,-0.08819724810047391,-0.14964562229433698,-0.0544449705668395
2022-09-30,-0.044755061469467394,-0.11887329702295635,-0.1894094891666841,-0.08565439949272524
2022-10-31,-0.009540631252297649,-0.12506829044006773,-0.16200888880585718,-0.01723024797570727
2022-11-30,-0.009520536137178515,-0.10410385715182591,-0.17544837860713736,-0.03285377224333985
2022-12-31,-0.0744130515907695,-0.13834181894654607,-0.278234388925815,-0.1333626760992478
2023-01-31,-0.046190479137632634,-0.09949522622888529,-0.22871472143336358,-0.09988304732087638
2023-02-28,-0.018045002864907844,-0.09371279035438218,-0.1772916931719435,-0.060630890946664295
2023-03-31,0.0,-0.06780958226397094,-0.11412373991357283,-0.0419472775296057
2023-04-30,0.0,-0.044762777909690965,-0.08016964406580629,0.0
2023-05-31,-0.009471622472895791,-0.05912373629658585,-0.020728854503547778,-0.00862244003544621
2023-06-30,0.0,-0.057563863380096,0.0,0.0
2023-07-31,0.0,-0.05550690944908032,0.0,-0.002500989304618506
2023-08-31,0.0,-0.05515781972567013,0.0,0.0
2023-09-30,-0.018739830166011107,-0.07407678819864183,-0.039345447249574894,-0.03074382527473518
2023-10-31,-0.01909959111149717,-0.09537894590721374,-0.053961651630359486,-0.051630187871911204
2023-11-30,0.0,-0.05643237106893584,0.0,-0.010845577807393925
2023-12-31,0.0,-0.0029116202521471957,0.0,0.0
2024-01-31,0.0,-0.0009832144421620947,0.0,0.0
2024-02-29,0.0,0.0,0.0,0.0
2024-03-31,0.0,0.0,0.0,0.0
2024-04-30,0.0,0.0,-0.018474665877850183,-0.014966215822457163
2024-05-31,0.0,0.0,0.0,0.0
2024-06-30,0.0,0.0,0.0,0.0
2024-07-31,-0.005195825866160075,0.0,-0.030271525908249552,-0.0017777167993413556
2024-08-31,-0.014864079485617632,-0.008826679250582448,-0.044681337064605864,-0.004621112358154877
2024-09-30,0.0,0.0,-0.032545131783421666,0.0
2024-10-31,0.0,0.0,0.0,0.0
2024-11-30,0.0,0.0,0.0,0.0
2024-12-31,0.0,0.0,0.0,0.0
2025-01-31,0.0,0.0,-0.008462021005833487,0.0
2025-02-28,0.0,0.0,-0.029780555609803416,-0.0070790887227411
2025-03-31,0.0,0.0,-0.0897162189618218,-0.0481123365332603
2025-04-30,-0.018806332976221363,-0.005367057834470335,-0.10723151430753664,-0.08727139198411615
2025-05-31,-0.003085718462086051,-0.013913600711661478,-0.061807403651650494,-0.06625484311325369
2025-06-30,0.0,-0.0005837851171355268,-0.017853709988480126,-0.033968989450362086
2025-07-31,0.0,0.0,0.0,0.0
2025-08-31,0.0,0.0,0.0,0.0
2025-09-30,0.0,0.0,0.0,0.0
2025-10-31,0.0,0.0,0.0,0.0
2025-11-30,0.0,0.0,0.0,0.0
2025-12-31,-0.008328304010961629,0.0,-0.01671288930821535,-0.015288936878936399
2026-01-31,0.0,0.0,-0.016933398054293614,-0.007134922069951144
2026-02-28,0.0,0.0,-0.037589891717720425,-0.013262838016641298
2026-03-31,-0.016247257829167694,-0.05300697923396391,-0.03874885612900647,-0.015483721436609477
2026-04-30,0.0,-0.016968518993838444,0.0,0.0
2026-05-31,0.0,0.0,0.0,0.0
2026-06-30,0.0,-0.012632342879279834,0.0,0.0
2026-07-31,-0.1045851526207695,-0.0893930100334962,-0.14296595749996888,-0.08234183406494822
2026-08-31,-0.07854271618143982,-0.08279832385844121,-0.13276144899707032,-0.0816342453646356
