date,Sample Portfolio_annualized_return_pct,Portfolio 2_annualized_return_pct,Portfolio 3_annualized_return_pct,benchmark_annualized_return_pct
2022-12-31,4.528969428725382,8.791120688062758,9.977404468719842,7.61846905323984
2023-01-31,5.885726305327799,12.299259361119708,12.72751069371103,9.8435146922337
2023-02-28,5.819449881593708,12.34035100790518,13.74763675950932,11.950901413542958
2023-03-31,9.529988074958151,19.86466789554766,21.524842899537244,18.469723324946564
2023-04-30,7.0179966781842795,14.787896312325778,17.33401227712279,14.444743401541537
2023-05-31,5.8648266972394,12.639361852701004,15.869774145652116,12.855971903004427
2023-06-30,6.517707642500281,12.000638020662425,15.692161983227537,14.569489744901576
2023-07-31,4.950582134511583,10.149782073327662,14.170814068003024,13.618178062544327
2023-08-31,3.421052882070086,6.8603302169996105,10.47767193061464,10.486365146513021
2023-09-30,2.5564722276457896,7.577222919031379,11.1412800562523,10.10277203697445
2023-10-31,3.020393584770442,7.6849520495102075,11.127216791545091,10.22401702570348
2023-11-30,3.877689331632994,8.308398713959786,10.963616668496702,9.643284789341621
2023-12-31,4.296847605371434,6.8564950563045235,9.65729822626522,9.945783341737746
2024-01-31,5.073055793977277,5.7220469848121125,9.385670915027644,10.90440292751591
2024-02-29,6.29393652533079,6.034384258964498,9.935433382634763,11.774514609245458
2024-03-31,7.052462651708558,8.179777569533409,11.203052498731193,11.320127670229274
2024-04-30,4.410272093573386,6.6952467358229795,9.365120263287373,7.932466028701324
2024-05-31,5.136740893481173,7.366099679030125,9.970172445779447,9.483242565459694
2024-06-30,5.705634014575578,8.189513873209432,10.400225498471261,9.94009868654
2024-07-31,5.634212955324136,9.436791462860516,10.794431824510632,9.49818681905481
2024-08-31,5.767251856814504,9.719110807925912,10.292670785054735,9.27108432307393
2024-09-30,8.21798925971422,12.416321821276078,12.020428925888659,11.795306167847318
2024-10-31,6.181529929891849,10.409092348668224,9.935416437272536,8.970571545473893
2024-11-30,7.393552983004237,11.443644819475862,11.029104535390788,11.394131286290277
2024-12-31,5.2410360670532175,9.614395092130135,9.216778961392546,8.840820691148954
2025-01-31,7.8686644662143035,12.051609293157473,11.559083740709086,11.807820869184638
2025-02-28,8.4285853650216,12.081706706780926,11.246363517601864,12.450145253434485
2025-03-31,7.380245198200286,11.450163246985046,10.130302270336578,8.972879400374921
2025-04-30,10.359307152289343,14.219081915552012,13.342484874212989,12.035643991338052
2025-05-31,11.774919796371442,15.83552168679323,14.855020589426493,14.249187497133198
2025-06-30,15.224221254511662,21.76609941233696,21.052743287027376,19.554403104535112
2025-07-31,13.682557185207433,20.818440558376917,18.585773444399155,16.979422360335583
2025-08-31,16.09933554109013,24.590786387234242,21.05117144292754,19.420933607202272
2025-09-30,21.3587363559919,32.05294909534304,27.237986589561668,24.792885896504057
2025-10-31,21.05059698615259,30.692143956092345,26.911492754225396,22.542865313964345
2025-11-30,19.135455806383494,28.038543436685703,24.47535381113639,20.430942621588557
2025-12-31,20.52787504039997,31.19376252170365,28.072969499948996,22.870063131533858
2026-01-31,19.3379901133923,30.875481613680854,28.300760495881462,20.98594836765382
2026-02-28,21.698059098950438,36.41903929186032,32.61781518479017,21.66474268442102
2026-03-31,17.29490542307022,29.49063231924276,25.9032444948456,18.185271950477123
2026-04-30,18.961443328615225,32.28508339655332,29.247942665514913,21.543020440727823
2026-05-31,20.365656609542015,35.00933142003673,31.484336075313024,23.449103524247207
2026-06-30,17.895179463343936,31.45538100425911,28.24383986359569,20.476105483392224
2026-07-31,16.827564136305618,28.439772960523936,24.24377464181262,18.918663298828477
