ticker,name,start_balance,end_balance,cagr,annualized_return,annualized_volatility,best_year,worst_year,max_drawdown,sharpe_ratio,sortino_ratio,3m,ytd,1y,3y,5y,10y,full_period,3y_annualized_volatility,5y_annualized_volatility
SPY,State Street SPDR S&P 500 ETF,1.0,2.528072469537463,0.1512859856215778,0.15606889507417696,0.1705198305440875,0.28728778277901856,-0.18175380540201336,-0.23927182389219892,0.7491420687604599,1.195563284416815,0.03470458655195974,0.09342964967795542,0.18641330947329404,0.18918663298828475,0.12595379606053525,,0.1512859856215778,0.13096233307210492,0.15889112627293112
GLD,SPDR Gold Shares,1.0,2.6393283398970677,0.15884224050939633,0.16189824869480732,0.16656228576430704,0.6367653308824839,-0.04832074389860186,-0.23849094597868203,0.8019398366573973,1.4072977327370866,-0.10975782372198184,-0.04832074389860186,0.244916867902782,0.2741090964972226,0.1730252353136863,,0.15884224050939633,0.18222785655096405,0.16513477911362906
TLT,iShares 20+ Year Treasury Bond ETF,1.0,0.741780535278631,-0.044358497397469554,-0.03493174454382154,0.144915325121395,0.18152306035291854,-0.312345287423759,-0.47613640730587203,-0.4365104998144782,-0.5770050020783732,-0.021948390495567294,-0.028481012087195334,-0.003989330951581271,-0.021207245951138876,-0.08056622391040569,,-0.044358497397469554,0.13975540258598598,0.1444713966990041
QQQ,Invesco QQQ Trust,1.0,3.3397432676380627,0.20102308301557148,0.20656277639740145,0.21201252530497208,0.5485558616629511,-0.3257700203962567,-0.3257700203962569,0.8406930660597403,1.4351371852609063,0.024801884877732494,0.11533923671055457,0.21562827094137904,0.2192879090242863,0.1407742215695862,,0.20102308301557148,0.1790327949326244,0.21138636013122117
SLV,iShares Silver Trust,1.0,3.207433994074869,0.1936712068181785,0.2352426429100094,0.3440362450769496,1.4466387525867455,-0.16951255012933986,-0.3708671306662441,0.6014404860395818,1.0498884780147524,-0.19741978606565447,-0.16951255012933986,0.6056422716087371,0.3309847882361787,0.17754636230852872,,0.1936712068181785,0.341863880115901,0.31580233563217314
GDX,VanEck Gold Miners ETF,1.0,2.825148707802261,0.17088058414577523,0.22437350591320804,0.3737787355580465,1.547712189899661,-0.10481518264692935,-0.4331015720741016,0.5245033245800208,0.9515543741504378,-0.1303658626897377,-0.10481518264692935,0.497630419208799,0.36297662913968565,0.18701252319637418,,0.17088058414577523,0.364789058837992,0.3545411814148856
AIA,iShares Asia 50 ETF,1.0,2.2841653756088083,0.13367941220068347,0.15401968608224997,0.24154237502784576,0.47791455878848943,-0.2408290445498633,-0.5056045656345491,0.5203822708626731,0.9117833117930586,0.06225046054733285,0.354965739332453,0.6164679580059598,0.3090233753212617,0.12030986738940563,,0.13367941220068347,0.21824014416019624,0.25479350744960777
XLF,Financial Select Sector SPDR Fund,1.0,2.089397768352329,0.11843514091769691,0.13422197400768604,0.20821697981813675,0.3479786665285378,-0.10586453189333522,-0.29918087012311445,0.5085880010577587,0.7640800774548143,0.09725049391005824,0.049729745071390274,0.10530015930539993,0.1915437247989331,0.11223738280736906,,0.11843514091769691,0.14554306282594523,0.17842385641404282
XLE,Energy Select Sector SPDR Fund,1.0,2.565468494395801,0.1538567675614826,0.20157669062946537,0.340471548190182,0.6432488655608253,-0.32671334667688134,-0.44404418051029537,0.5088571279882503,0.821264720101833,-0.0044391832284180754,0.336909205620759,0.3942705045404873,0.140609551612922,0.23422248052445993,,0.1538567675614826,0.19798799189090682,0.2596745631640395
EWY,iShares MSCI South Korea ETF,1.0,2.9004195976400595,0.1755665359800498,0.22063973043688767,0.34934091553310115,0.9533032375580921,-0.26589712429869394,-0.4809425069625526,0.5505064120179449,0.9949496721161822,0.0027992798109488515,0.6581979499043384,1.2638491241374146,0.3685021937461874,0.15063135409777617,,0.1755665359800498,0.4247779779042404,0.3765947699363286
EWJ,iShares MSCI Japan ETF,1.0,1.8078495788162496,0.09411412975386635,0.10146005622216864,0.15061056516684204,0.2584057899106964,-0.17723251179305788,-0.28864008559706245,0.4855883761239186,0.7516000317413055,0.052714649209390174,0.16171513469491972,0.3217389433855633,0.17075566252488206,0.09378727071647086,,0.09411412975386635,0.12573386568492148,0.14901724084128917
INDY,iShares India 50 ETF,1.0,1.3743859014392763,0.04949055731420127,0.066190024178012,0.18381793907899913,0.1942735705427534,-0.11094334704820052,-0.31691079547294065,0.2059902744641411,0.2750252276505758,0.002553240326851114,-0.11094334704820052,-0.08154640849062611,0.011295690574651296,0.025066136713035814,,0.04949055731420127,0.124941706126152,0.1322464653156006
