asset,Sample Portfolio,Portfolio 2,Portfolio 3
SPY,0.7447630785256183,0.0,0.0
GLD,0.12559410413247982,0.054226515066614765,0.04193109058781014
TLT,0.129642817341902,0.0,0.0
QQQ,0.0,0.2729702762872269,0.4295222616803339
SLV,0.0,0.1369489120920992,0.12073946040062362
GDX,0.0,0.15406227163553263,0.0
AIA,0.0,0.20769725403094388,0.0
XLF,0.0,0.07661564516065729,0.0
XLE,0.0,0.09747912572692542,0.09965734204469251
EWY,0.0,0.0,0.16409989790398447
EWJ,0.0,0.0,0.07156955538369043
INDY,0.0,0.0,0.0724803919988651
