date,Sample Portfolio_drawdown,Portfolio 2_drawdown,Portfolio 3_drawdown,benchmark_drawdown
2020-01-31,0.0,0.0,0.0,0.0
2020-02-29,-0.0337235442629199,-0.06264017421789703,-0.06602546833481404,-0.07916557574869576
2020-03-31,-0.08721323306412088,-0.17392255265606293,-0.17946758213659442,-0.19415131299348865
2020-04-30,-0.00968861850617575,-0.05465592615620063,-0.07749867519803377,-0.09182181983016235
2020-05-31,0.0,-0.004413750430015795,-0.019789750733428813,-0.048551642495809344
2020-06-30,0.0,0.0,0.0,-0.03167796850747007
2020-07-31,0.0,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0,0.0
2020-09-30,-0.028969922555905137,-0.06603831172702057,-0.057582643152235935,-0.037443659052968314
2020-10-31,-0.05083201459216424,-0.07566052660351918,-0.07269894086988493,-0.06144356722069921
2020-11-30,-0.0009790578389043958,-0.01705240252085849,0.0,0.0
2020-12-31,0.0,0.0,0.0,0.0
2021-01-31,-0.019827531405703258,0.0,0.0,-0.010190452682016349
2021-02-28,-0.02647404313610313,0.0,0.0,0.0
2021-03-31,-0.010366539786863527,0.0,0.0,0.0
2021-04-30,0.0,0.0,0.0,0.0
2021-05-31,0.0,0.0,0.0,0.0
2021-06-30,0.0,-0.004748834808095848,0.0,0.0
2021-07-31,0.0,-0.021039281541426758,-0.004252390187965083,0.0
2021-08-31,0.0,-0.01747328019191341,0.0,0.0
2021-09-30,-0.04113409012486191,-0.05442834877605818,-0.025796587068413923,-0.04660541484392822
2021-10-31,0.0,0.0,0.0,0.0
2021-11-30,-0.001800803026692277,-0.018738383619530063,-0.013240843195641339,-0.008034774668620681
2021-12-31,0.0,0.0,0.0,0.0
2022-01-31,-0.04283014165771026,-0.015845556221757207,-0.031411040213069286,-0.052741381529686104
2022-02-28,-0.05070653977238071,-0.006762549827725728,-0.03185452362492813,-0.0807015986427192
2022-03-31,-0.037608703280179956,0.0,-0.0029134817007405722,-0.04614481645535695
2022-04-30,-0.10905969232419288,-0.07980282529380944,-0.08190417785942261,-0.12986376317648518
2022-05-31,-0.11827939092254036,-0.07524055903099003,-0.07431596650940031,-0.12789968031242882
2022-06-30,-0.16657978955175312,-0.15812435664056956,-0.15946430119176924,-0.19981323389774042
2022-07-31,-0.12367017648859113,-0.1258162943531318,-0.09876338750626101,-0.12612632422117354
