portfolio,start_balance,end_balance,cagr,annualized_return,annualized_volatility,best_year,worst_year,max_drawdown,sharpe_ex_post,sortino
Sample Portfolio,10000.0,20811.193680111537,0.1177608906938008,0.11949266539521826,0.12441398352842757,0.24216197089694758,-0.17306557010403678,-0.2224543635695313,0.732774133212213,1.1418618346071998
Portfolio 2,10000.0,32331.238757865478,0.19511855477247608,0.1944749012203708,0.1740830212649575,0.5437907997287994,-0.09956646577175632,-0.22346467953973081,0.9544272816347319,1.608274257625448
Portfolio 3,10000.0,31546.689848063106,0.19066736449839383,0.19008770560155763,0.17019009333072313,0.4254505284616934,-0.11600908013744449,-0.2005103900028743,0.9504806418521407,1.5763780592174221
benchmark,10000.0,25280.72469537463,0.1512859856215778,0.15606889507417696,0.1705198305440875,0.28728778277901856,-0.18175380540201336,-0.23927182389219892,0.7491420687604599,1.195563284416815
