roll_period_years,Sample Portfolio_average_pct,Sample Portfolio_high_pct,Sample Portfolio_low_pct,Portfolio 2_average_pct,Portfolio 2_high_pct,Portfolio 2_low_pct,Portfolio 3_average_pct,Portfolio 3_high_pct,Portfolio 3_low_pct,benchmark_average_pct,benchmark_high_pct,benchmark_low_pct
1,12.822594059779234,33.46273972354608,-17.30655701040368,22.312527290039796,66.71370672277,-16.61568587051515,21.636826260451468,64.18794116756337,-15.403809281082825,17.701795488889626,56.23114084741854,-18.175380540201335
3,10.106060814091688,21.698059098950438,2.5564722276457896,16.458009814644672,36.41903929186032,5.7220469848121125,16.511868333758308,32.61781518479017,9.216778961392546,14.23245945576552,24.792885896504057,7.61846905323984
5,10.88692496724731,12.665615750433478,9.457644607415006,17.52163154787059,20.45584948633712,13.497499385665957,17.1721278831671,19.700033415553975,14.170813046525055,15.009625373951025,18.475142417906397,11.93062248222403
7,,,,,,,,,,,,
