year,optimized,provided,benchmark
2017,0.0020851160116732714,0.042461834785186614,0.03675962984395276
2018,0.022717295445554342,-0.027990380798691872,-0.00392097525291224
2019,0.2885175233030952,0.2918673789646842,0.3593182143598215
2020,0.1923166119420281,0.15503435918000807,0.11175543459301829
2021,0.21309270981248463,0.2673879858471315,0.40988798342800115
2022,0.009341072314782206,0.02181998231773674,-0.13336254459285557
2023,0.22428727388479364,0.18780837840108489,0.2793587342107533
2024,0.4826606694570401,0.40376502005252934,0.43411658567333666
2025,0.3879154422426023,0.3081510246557815,0.15354082673803182
2026,0.09965054587129796,0.20279228926854476,0.0888832490115481
