point,sharpe,expected_return_pct,volatility_pct,weight_QQQ_pct,weight_SPY_pct,weight_EWY_pct,weight_EEM_pct,weight_EWJ_pct,weight_TLT_pct,weight_GLD_pct
1,0.4617534142891147,9.341001843854373,11.914409108817232,0.0,35.952578629775374,0.0,0.0,0.0,30.33100745316648,33.71641391705815
2,0.4740442540240387,9.48755148850725,11.914644428113137,0.0,36.281923528817074,0.0,0.0,0.0,29.715090924341997,34.00298554684093
3,0.4863153999153894,9.634101133160126,11.915350358116568,0.0,36.61126842785877,0.0,0.0,0.0,29.0991743955175,34.28955717662373
4,0.4985654051160703,9.780650777813,11.916526815191189,0.0,36.94061332690046,0.0,0.0,0.0,28.48325786669303,34.576128806406516
5,0.5107928309752564,9.927200422465873,11.918173659998141,0.0,37.26995822594215,0.0,0.0,0.0,27.867341337868538,34.86270043618931
6,0.5229962478821495,10.073750067118748,11.920290697578526,0.0,37.59930312498385,0.0,0.0,0.0,27.251424809044057,35.14927206597209
7,0.535174236099822,10.220299711771624,11.922877677468707,0.0,37.92864802402555,0.0,0.0,0.0,26.63550828021957,35.43584369575488
8,0.547325386588017,10.366849356424497,11.925934293848297,0.0,38.25799292306723,0.0,0.0,0.0,26.019591751395094,35.722415325537675
9,0.559448301813796,10.513399001077369,11.929460185720599,0.0,38.58733782210892,0.0,0.0,0.0,25.403675222570616,36.00898695532046
10,0.5715415965489518,10.659948645730246,11.933454937125285,0.0,38.91668272115062,0.0,0.0,0.0,24.787758693746127,36.29555858510325
11,0.5836038986531337,10.806498290383121,11.937918077382987,0.0,39.24602762019232,0.0,0.0,0.0,24.171842164921635,36.58213021488604
12,0.5956338498416657,10.953047935035995,11.942849081371499,0.0,39.57537251923401,0.0,0.0,0.0,23.555925636097157,36.868701844668834
13,0.6076301064370706,11.09959757968887,11.948247369833174,0.0,39.90471741827571,0.0,0.0,0.0,22.94000910727267,37.15527347445162
14,0.6195913401033442,11.246147224341744,11.954112309713151,0.0,40.2340623173174,0.0,0.0,0.0,22.324092578448187,37.4418451042344
15,0.6315162385620733,11.39269686899462,11.960443214527897,0.0,40.563407216359096,0.0,0.0,0.0,21.7081760496237,37.72841673401721
16,0.64340350628952,11.539246513647496,11.967239344763613,0.0,40.892752115400796,0.0,0.0,0.0,21.092259520799214,38.01498836379999
17,0.6552518651938454,11.68579615830037,11.97449990830393,0.0,41.22209701444249,0.0,0.0,0.0,20.476342991974736,38.301559993582785
18,0.6670600552716833,11.832345802953242,11.982224060886365,0.0,41.551441913484176,0.0,0.0,0.0,19.860426463150255,38.58813162336556
19,0.6788268352433239,11.978895447606117,11.990410906586911,0.0,41.880786812525876,0.0,0.0,0.0,19.244509934325766,38.874703253148354
20,0.6905509831658128,12.125445092258992,11.999059498332082,0.0,42.21013171156757,0.0,0.0,0.0,18.62859340550129,39.161274882931146
21,0.7022312970233175,12.271994736911864,12.008168838437822,0.0,42.53947661060927,0.0,0.0,0.0,18.0126768766768,39.44784651271392
22,0.7138665952941672,12.41854438156474,12.017737879174506,0.0,42.868821509650964,0.0,0.0,0.0,17.39676034785232,39.734418142496715
