portfolio,rank,start,bottom,recovery,duration_months,maximum_drawdown_pct
optimized,1,2022-01-31,2022-09-30,2023-12-31,24,-19.421699867912746
optimized,2,2026-03-31,2026-07-31,,6,-7.278736360707827
optimized,3,2024-12-31,2024-12-31,2025-01-31,2,-2.7531089996811975
optimized,4,2024-04-30,2024-04-30,2024-05-31,2,-1.7301024911588136
optimized,5,2024-01-31,2024-01-31,2024-02-29,2,-0.30154086676645875
provided,1,2022-01-31,2022-10-31,2024-09-30,33,-26.11506128205976
provided,2,2026-03-31,2026-03-31,2026-05-31,3,-7.957832550696553
provided,3,2026-06-30,2026-07-31,,3,-6.790563676408556
provided,4,2024-10-31,2024-12-31,2025-04-30,7,-5.266608551883401
benchmark,1,2022-01-31,2022-09-30,2023-12-31,24,-23.92717719440286
benchmark,2,2025-02-28,2025-04-30,2025-06-30,5,-7.578993950540813
benchmark,3,2026-02-28,2026-03-31,2026-04-30,3,-5.7594788825876435
benchmark,4,2024-04-30,2024-04-30,2024-05-31,2,-4.031962876347306
benchmark,5,2024-12-31,2024-12-31,2025-01-31,2,-2.4060167942029365
benchmark,6,2026-06-30,2026-06-30,2026-08-31,3,-1.0292566443839024
benchmark,7,2024-10-31,2024-10-31,2024-11-30,2,-0.8923647328876738
