asset,Sample Portfolio_risk_contribution_pct,Portfolio 2_risk_contribution_pct,Portfolio 3_risk_contribution_pct
SPY,74.47630785256183,0.0,0.0
GLD,12.559410413247981,5.422651506661476,4.193109058781014
TLT,12.9642817341902,0.0,0.0
QQQ,0.0,27.29702762872269,42.95222616803339
SLV,0.0,13.694891209209919,12.073946040062362
GDX,0.0,15.406227163553263,0.0
AIA,0.0,20.769725403094387,0.0
XLF,0.0,7.661564516065729,0.0
XLE,0.0,9.747912572692542,9.965734204469252
EWY,0.0,0.0,16.409989790398445
EWJ,0.0,0.0,7.1569555383690435
INDY,0.0,0.0,7.24803919988651
