date,Sample Portfolio_balance,Portfolio 2_balance,Portfolio 3_balance,benchmark_balance
2020-01-01,10000.0,10000.0,10000.0,10000.0
2020-01-31,10241.392868561925,9881.404221983252,9939.140483539362,9995.95882011694
2020-02-29,9896.016802845024,9262.431340000758,9282.904078268164,9204.62298496213
2020-03-31,9348.20788541481,8162.805175869527,8155.386972442611,8055.230290562394
2020-04-30,10142.16792008656,9341.326922506965,9168.870263457917,9078.111690306441
2020-05-31,10415.639991152117,9837.790169849313,9742.447370865586,9510.638601079792
2020-06-30,10587.440633987202,10341.524604202723,10174.465418116733,9679.307151411309
2020-07-31,11290.325695411795,11417.547586812992,11052.603522660589,10249.342359085827
2020-08-31,11582.691924773735,12118.502160144848,11956.3723898284,10964.711293844332
2020-09-30,11247.142236724132,11318.21673682863,11267.892865109665,10554.152382543394
2020-10-31,10993.920359837095,11201.609905062403,11087.156780441941,10291.000318405448
2020-11-30,11571.351799449172,11911.852583360165,12066.643443478777,11410.425869626026
2020-12-31,11959.23417102387,12740.51433899308,12979.158425426234,11833.161370813987
2021-01-31,11722.112079909737,12892.633087509477,13018.426613898155,11712.576099786043
2021-02-28,11642.624889705427,13146.732242607339,13305.264946799878,12038.248389327166
2021-03-31,11835.258294169535,13201.313561380439,13390.161964301204,12584.778180832453
2021-04-30,12366.843410174662,13713.820572561946,13773.767294600704,13250.64500247516
2021-05-31,12590.226024961145,14176.730949502813,14144.632170751105,13337.649472945886
2021-06-30,12693.89010438672,14109.407996104806,14389.552207002755,13636.778960150847
2021-07-31,13033.848303711251,13878.462715719166,14328.362216388485,13969.68688605402
2021-08-31,13276.429076461549,13929.01695741678,14597.381665076247,14385.420796046908
2021-09-30,12730.315246294042,13405.114892878935,14220.819037982239,13714.98229214267
2021-10-31,13400.9411731438,14286.81309069015,14928.589425168895,14677.27511926162
2021-11-30,13376.808717718675,14019.101306296274,14730.922313458124,14559.346520928999
2021-12-31,13811.439057846852,14299.758103412772,15047.439072043457,15232.684064301471
2022-01-31,13219.89316650244,14073.170482427617,14574.783358247789,14429.29126234498
2022-02-28,13111.10877394633,14203.055276714018,14568.11006862838,14003.38210869287
2022-03-31,13292.008744448003,14619.029353091231,15003.598633664049,14529.77465403184
2022-04-30,12305.167763643734,13452.389507661419,13814.990945957983,13254.510388432805
2022-05-31,12177.830458320941,13519.085412074195,13929.174093913232,13284.428642177085
2022-06-30,11510.73244618386,12307.404741924078,12647.90971569432,12188.992200470819
2022-07-31,12103.375952001512,12779.71725284563,13561.303015994376,13311.441615248681
2022-08-31,11629.22557554875,12301.516696871866,13075.789254315336,12768.310159567836
2022-09-30,10739.024172254163,11352.19264352078,12030.271195163534,11587.931965462425
2022-10-31,11091.329783558402,11912.96110663344,12839.880972507923,12529.747400772392
2022-11-30,11808.875843351017,13176.135427746289,13805.961575845498,13226.294943303341
2022-12-31,11421.154483343427,12875.981727664928,13301.799506871455,12464.085769128073
2023-01-31,12158.256074534294,13994.240765023755,14237.658750383811,13247.920716731604
2023-02-28,11726.189881131015,13132.04405985005,13661.897107239223,12914.832836100048
2023-03-31,12283.651394369193,14057.658552823143,14636.585635569845,13393.68508692282
