asset,Sample Portfolio_contribution_balance,Portfolio 2_contribution_balance,Portfolio 3_contribution_balance
contribution_SPY,8307.426984769483,0.0,0.0
contribution_GLD,3245.974071013875,1820.8031044406541,1920.961884955985
contribution_TLT,-742.2073756718264,0.0,0.0
contribution_QQQ,0.0,6594.183434291074,8986.757312991518
contribution_SLV,0.0,2890.636691698675,3052.305465145251
contribution_GDX,0.0,2890.4196156707667,0.0
contribution_AIA,0.0,4327.307449728274,0.0
contribution_XLF,0.0,1329.7539312062777,0.0
contribution_XLE,0.0,2478.1345308297537,2515.3460880866814
contribution_EWY,0.0,0.0,3506.6651575493756
contribution_EWJ,0.0,0.0,1251.1015505680398
contribution_INDY,0.0,0.0,313.5523887662317
