portfolio,market_type,portfolio_return,benchmark_return,active_return,occurrences,above_benchmark_count,below_benchmark_count,total_count,pct_above_benchmark,above_active_return,below_active_return,above_active_return_pct,below_active_return_pct,overall_active_return_pct
Sample Portfolio,up,0.031040452261087013,0.04277016305697435,-0.011729710795887343,50,17,33,50,34.0,0.007448893147373049,-0.021609597675748753,0.7448893147373049,-2.1609597675748753,-1.1729710795887343
Sample Portfolio,down,-0.026391812616178064,-0.038312227365875376,0.011920414749697314,29,21,8,29,72.41379310344827,0.01942249938781398,-0.007772557425358938,1.942249938781398,-0.7772557425358938,1.1920414749697315
Portfolio 2,up,0.04306670030599568,0.04277016305697435,0.00029653724902132834,50,23,27,50,46.0,0.0274972842982919,-0.022874469496653598,2.7497284298291897,-2.2874469496653598,0.029653724902132833
Portfolio 2,down,-0.030104893641345144,-0.038312227365875376,0.008207333724530228,29,18,11,29,62.06896551724138,0.024314911664086843,-0.018150521085653317,2.4314911664086845,-1.8150521085653317,0.8207333724530228
Portfolio 3,up,0.04399496601166434,0.04277016305697435,0.0012248029546899825,50,22,28,50,44.0,0.02198018126511305,-0.015082994289213858,2.1980181265113052,-1.5082994289213858,0.12248029546899826
Portfolio 3,down,-0.03270129558757342,-0.038312227365875376,0.005610931778301961,29,19,10,29,65.51724137931035,0.017301570468166976,-0.016601281732441565,1.7301570468166976,-1.6601281732441564,0.5610931778301961
