year,optimized,provided,benchmark
2017,0.0020849935518634233,0.04246174790093815,0.036759709409971864
2018,0.02271728756022995,-0.0279903425211242,-0.003921182304916004
2019,0.2885176639471585,0.29186736926620527,0.35931844405506164
2020,0.19231670621135866,0.15503433247644693,0.11175584342641454
2021,0.21309285624675245,0.2673879965281032,0.4098877078947094
2022,0.009340852668080712,0.021819959305562575,-0.13336253144735677
2023,0.22428753903276588,0.18780841450209285,0.2793584582008337
2024,0.4826602342662065,0.40376512206528603,0.43411677538550153
2025,0.3879150127015749,0.30815089811500207,0.1535408267380316
2026,0.099650551767414,0.20279228843585462,0.0888832490115481
