portfolio,rank,date,month_since_bottom,recovery_progress_pct,recovered,drawdown_pct,maximum_drawdown_pct
Current Portfolio,1,2026-07-31,0,0.0,False,-10.45851526207695,-10.45851526207695
Current Portfolio,1,2026-08-31,1,24.900701281912106,False,-7.854271618143982,-10.45851526207695
Current Portfolio,2,2022-06-30,0,0.0,True,-8.28914467780022,-8.28914467780022
Current Portfolio,2,2022-07-31,1,63.51084589436813,True,-3.0246387755213044,-8.28914467780022
Current Portfolio,2,2022-08-31,2,65.08521148938628,True,-2.894137333592739,-8.28914467780022
Current Portfolio,2,2022-09-30,3,46.007624177040505,True,-4.475506146946739,-8.28914467780022
Current Portfolio,2,2022-10-31,4,88.49021024105282,True,-0.9540631252297649,-8.28914467780022
Current Portfolio,2,2022-11-30,5,88.51445292941239,True,-0.9520536137178515,-8.28914467780022
Current Portfolio,2,2022-12-31,6,10.22831126345198,True,-7.44130515907695,-8.28914467780022
Current Portfolio,2,2023-01-31,7,44.27594048232887,True,-4.619047913763263,-8.28914467780022
Current Portfolio,2,2023-02-28,8,78.23056109367289,True,-1.8045002864907844,-8.28914467780022
Current Portfolio,2,2023-03-31,9,100.0,True,0.0,-8.28914467780022
Current Portfolio,3,2022-01-31,0,0.0,True,-3.5173758387619602,-3.5173758387619602
Current Portfolio,3,2022-02-28,1,50.207148423813905,True,-1.7514017307713736,-3.5173758387619602
Current Portfolio,3,2022-03-31,2,100.0,True,0.0,-3.5173758387619602
Current Portfolio,4,2023-10-31,0,0.0,True,-1.9099591111497172,-1.9099591111497172
Current Portfolio,4,2023-11-30,1,100.0,True,0.0,-1.9099591111497172
Current Portfolio,5,2025-04-30,0,0.0,True,-1.8806332976221363,-1.8806332976221363
Current Portfolio,5,2025-05-31,1,83.5921310869715,True,-0.3085718462086051,-1.8806332976221363
Current Portfolio,5,2025-06-30,2,100.0,True,0.0,-1.8806332976221363
Current Portfolio,6,2026-03-31,0,0.0,True,-1.6247257829167694,-1.6247257829167694
Current Portfolio,6,2026-04-30,1,100.0,True,0.0,-1.6247257829167694
Current Portfolio,7,2024-08-31,0,0.0,True,-1.4864079485617632,-1.4864079485617632
Current Portfolio,7,2024-09-30,1,100.0,True,0.0,-1.4864079485617632
Current Portfolio,8,2023-05-31,0,0.0,True,-0.9471622472895791,-0.9471622472895791
Current Portfolio,8,2023-06-30,1,100.0,True,0.0,-0.9471622472895791
Current Portfolio,9,2025-12-31,0,0.0,True,-0.8328304010961629,-0.8328304010961629
Current Portfolio,9,2026-01-31,1,100.0,True,0.0,-0.8328304010961629
KAW Native Proxy,1,2022-12-31,0,0.0,True,-13.834181894654607,-13.834181894654607
KAW Native Proxy,1,2023-01-31,1,28.08015176717513,True,-9.94952262288853,-13.834181894654607
KAW Native Proxy,1,2023-02-28,2,32.25996949585296,True,-9.371279035438217,-13.834181894654607
KAW Native Proxy,1,2023-03-31,3,50.98403159627972,True,-6.780958226397093,-13.834181894654607
KAW Native Proxy,1,2023-04-30,4,67.64335018105633,True,-4.476277790969096,-13.834181894654607
KAW Native Proxy,1,2023-05-31,5,57.26257125516712,True,-5.912373629658585,-13.834181894654607
KAW Native Proxy,1,2023-06-30,6,58.39012106502798,True,-5.7563863380096,-13.834181894654607
KAW Native Proxy,1,2023-07-31,7,59.87698450710146,True,-5.550690944908032,-13.834181894654607
KAW Native Proxy,1,2023-08-31,8,60.129323045128835,True,-5.515781972567013,-13.834181894654607
KAW Native Proxy,1,2023-09-30,9,46.4537991745906,True,-7.4076788198641825,-13.834181894654607
KAW Native Proxy,1,2023-10-31,10,31.055593577190688,True,-9.537894590721374,-13.834181894654607
KAW Native Proxy,1,2023-11-30,11,59.208017142856306,True,-5.643237106893584,-13.834181894654607
KAW Native Proxy,1,2023-12-31,12,97.89534337894442,True,-0.29116202521471957,-13.834181894654607
KAW Native Proxy,1,2024-01-31,13,99.28928616838412,True,-0.09832144421620947,-13.834181894654607
KAW Native Proxy,1,2024-02-29,14,100.0,True,0.0,-13.834181894654607
KAW Native Proxy,2,2026-07-31,0,0.0,False,-8.93930100334962,-8.93930100334962
KAW Native Proxy,2,2026-08-31,1,7.377183263639865,False,-8.279832385844122,-8.93930100334962
KAW Native Proxy,3,2026-03-31,0,0.0,True,-5.300697923396392,-5.300697923396392
KAW Native Proxy,3,2026-04-30,1,67.98814186535277,True,-1.6968518993838444,-5.300697923396392
KAW Native Proxy,3,2026-05-31,2,100.0,True,0.0,-5.300697923396392
KAW Native Proxy,4,2025-05-31,0,0.0,True,-1.3913600711661478,-1.3913600711661478
KAW Native Proxy,4,2025-06-30,1,95.80421251670506,True,-0.05837851171355268,-1.3913600711661478
KAW Native Proxy,4,2025-07-31,2,100.0,True,0.0,-1.3913600711661478
KAW Native Proxy,5,2024-08-31,0,0.0,True,-0.8826679250582448,-0.8826679250582448
KAW Native Proxy,5,2024-09-30,1,100.0,True,0.0,-0.8826679250582448
QQQ 100%,1,2022-12-31,0,0.0,True,-27.8234388925815,-27.8234388925815
QQQ 100%,1,2023-01-31,1,17.79782423144492,True,-22.87147214333636,-27.8234388925815
QQQ 100%,1,2023-02-28,2,36.279733840084596,True,-17.729169317194348,-27.8234388925815
QQQ 100%,1,2023-03-31,3,58.98287758239641,True,-11.412373991357283,-27.8234388925815
QQQ 100%,1,2023-04-30,4,71.18629211316444,True,-8.016964406580628,-27.8234388925815
QQQ 100%,1,2023-05-31,5,92.54985892161783,True,-2.072885450354778,-27.8234388925815
QQQ 100%,1,2023-06-30,6,100.0,True,0.0,-27.8234388925815
QQQ 100%,2,2026-07-31,0,0.0,False,-14.296595749996888,-14.296595749996888
QQQ 100%,2,2026-08-31,1,7.137719133522244,False,-13.276144899707031,-14.296595749996888
QQQ 100%,3,2025-04-30,0,0.0,True,-10.723151430753664,-10.723151430753664
QQQ 100%,3,2025-05-31,1,42.360784466412746,True,-6.180740365165049,-10.723151430753664
QQQ 100%,3,2025-06-30,2,83.35031440731477,True,-1.7853709988480126,-10.723151430753664
QQQ 100%,3,2025-07-31,3,100.0,True,0.0,-10.723151430753664
QQQ 100%,4,2023-10-31,0,0.0,True,-5.396165163035949,-5.396165163035949
QQQ 100%,4,2023-11-30,1,100.0,True,0.0,-5.396165163035949
QQQ 100%,5,2024-08-31,0,0.0,True,-4.468133706460586,-4.468133706460586
QQQ 100%,5,2024-09-30,1,27.161687806334346,True,-3.2545131783421666,-4.468133706460586
QQQ 100%,5,2024-10-31,2,100.0,True,0.0,-4.468133706460586
QQQ 100%,6,2026-03-31,0,0.0,True,-3.874885612900647,-3.874885612900647
QQQ 100%,6,2026-04-30,1,100.0,True,0.0,-3.874885612900647
QQQ 100%,7,2024-04-30,0,0.0,True,-1.8474665877850183,-1.8474665877850183
QQQ 100%,7,2024-05-31,1,100.0,True,0.0,-1.8474665877850183
benchmark,1,2022-06-30,0,0.0,True,-13.40306703767431,-13.40306703767431
benchmark,1,2022-07-31,1,63.574354556247094,True,-4.882153677731759,-13.40306703767431
benchmark,1,2022-08-31,2,59.37872248657592,True,-5.44449705668395,-13.40306703767431
benchmark,1,2022-09-30,3,36.09343350148018,True,-8.565439949272523,-13.40306703767431
benchmark,1,2022-10-31,4,87.14454838786135,True,-1.723024797570727,-13.40306703767431
benchmark,1,2022-11-30,5,75.48786993977417,True,-3.285377224333985,-13.40306703767431
benchmark,1,2022-12-31,6,0.4983891191603108,True,-13.336267609924779,-13.40306703767431
benchmark,1,2023-01-31,7,25.47746941791913,True,-9.988304732087638,-13.40306703767431
benchmark,1,2023-02-28,8,54.76342036025142,True,-6.063089094666429,-13.40306703767431
benchmark,1,2023-03-31,9,68.70322485764098,True,-4.19472775296057,-13.40306703767431
benchmark,1,2023-04-30,10,100.0,True,0.0,-13.40306703767431
benchmark,2,2025-04-30,0,0.0,True,-8.727139198411615,-8.727139198411615
benchmark,2,2025-05-31,1,24.081830704255964,True,-6.625484311325369,-8.727139198411615
