date,Current Portfolio_drawdown_pct,KAW Native Proxy_drawdown_pct,QQQ 100%_drawdown_pct,benchmark_drawdown_pct
2021-11-30,0.0,0.0,0.0,0.0
2021-12-31,0.0,0.0,0.0,0.0
2022-01-31,-3.5173758387619602,-4.151600444749903,-10.65774229712667,-3.855484438632073
2022-02-28,-1.7514017307713736,-4.009367166032652,-12.357076041788073,-7.475235256299994
2022-03-31,0.0,-3.4505848586342203,-6.970754932858125,-2.6416505416789304
2022-04-30,-2.926156348201636,-6.6448634371159,-15.793962653178294,-6.9606525655447555
2022-05-31,-5.179098566416462,-8.69115442255649,-19.119815224637016,-8.989747604792997
2022-06-30,-8.28914467780022,-11.04518803187996,-23.597039551862064,-13.40306703767431
2022-07-31,-3.0246387755213044,-6.888773113399216,-13.510284328843692,-4.882153677731759
2022-08-31,-2.894137333592739,-8.819724810047392,-14.964562229433698,-5.44449705668395
2022-09-30,-4.475506146946739,-11.887329702295634,-18.94094891666841,-8.565439949272523
2022-10-31,-0.9540631252297649,-12.506829044006773,-16.20088888058572,-1.723024797570727
2022-11-30,-0.9520536137178515,-10.41038571518259,-17.544837860713734,-3.285377224333985
2022-12-31,-7.44130515907695,-13.834181894654607,-27.8234388925815,-13.336267609924779
2023-01-31,-4.619047913763263,-9.94952262288853,-22.87147214333636,-9.988304732087638
2023-02-28,-1.8045002864907844,-9.371279035438217,-17.729169317194348,-6.063089094666429
2023-03-31,0.0,-6.780958226397093,-11.412373991357283,-4.19472775296057
2023-04-30,0.0,-4.476277790969096,-8.016964406580628,0.0
2023-05-31,-0.9471622472895791,-5.912373629658585,-2.072885450354778,-0.862244003544621
2023-06-30,0.0,-5.7563863380096,0.0,0.0
2023-07-31,0.0,-5.550690944908032,0.0,-0.2500989304618506
2023-08-31,0.0,-5.515781972567013,0.0,0.0
2023-09-30,-1.8739830166011107,-7.4076788198641825,-3.9345447249574894,-3.074382527473518
2023-10-31,-1.9099591111497172,-9.537894590721374,-5.396165163035949,-5.16301878719112
2023-11-30,0.0,-5.643237106893584,0.0,-1.0845577807393925
2023-12-31,0.0,-0.29116202521471957,0.0,0.0
2024-01-31,0.0,-0.09832144421620947,0.0,0.0
2024-02-29,0.0,0.0,0.0,0.0
2024-03-31,0.0,0.0,0.0,0.0
2024-04-30,0.0,0.0,-1.8474665877850183,-1.4966215822457163
2024-05-31,0.0,0.0,0.0,0.0
2024-06-30,0.0,0.0,0.0,0.0
2024-07-31,-0.5195825866160075,0.0,-3.0271525908249552,-0.17777167993413556
2024-08-31,-1.4864079485617632,-0.8826679250582448,-4.468133706460586,-0.46211123581548774
2024-09-30,0.0,0.0,-3.2545131783421666,0.0
2024-10-31,0.0,0.0,0.0,0.0
2024-11-30,0.0,0.0,0.0,0.0
2024-12-31,0.0,0.0,0.0,0.0
2025-01-31,0.0,0.0,-0.8462021005833487,0.0
2025-02-28,0.0,0.0,-2.9780555609803416,-0.70790887227411
2025-03-31,0.0,0.0,-8.97162189618218,-4.81123365332603
2025-04-30,-1.8806332976221363,-0.5367057834470335,-10.723151430753664,-8.727139198411615
2025-05-31,-0.3085718462086051,-1.3913600711661478,-6.180740365165049,-6.625484311325369
2025-06-30,0.0,-0.05837851171355268,-1.7853709988480126,-3.3968989450362086
2025-07-31,0.0,0.0,0.0,0.0
2025-08-31,0.0,0.0,0.0,0.0
2025-09-30,0.0,0.0,0.0,0.0
2025-10-31,0.0,0.0,0.0,0.0
2025-11-30,0.0,0.0,0.0,0.0
2025-12-31,-0.8328304010961629,0.0,-1.671288930821535,-1.5288936878936399
2026-01-31,0.0,0.0,-1.6933398054293614,-0.7134922069951144
2026-02-28,0.0,0.0,-3.7589891717720425,-1.3262838016641298
2026-03-31,-1.6247257829167694,-5.300697923396392,-3.874885612900647,-1.5483721436609477
2026-04-30,0.0,-1.6968518993838444,0.0,0.0
2026-05-31,0.0,0.0,0.0,0.0
2026-06-30,0.0,-1.2632342879279834,0.0,0.0
2026-07-31,-10.45851526207695,-8.93930100334962,-14.296595749996888,-8.234183406494822
2026-08-31,-7.854271618143982,-8.279832385844122,-13.276144899707031,-8.163424536463559
