metric,unit,Current Portfolio,KAW Native Proxy,QQQ 100%,benchmark
Arithmetic Mean (monthly),pct,0.017077686771301503,0.00805610526581444,0.01580492863822939,0.013817829124851645
Arithmetic Mean (annualized),pct,0.2253199920146951,0.1010738567789029,0.20704590801647438,0.17901435847703562
Geometric Mean (monthly),pct,0.01652361619444509,0.007668914889235712,0.014144988020672322,0.01298028841443677
Geometric Mean (annualized),pct,0.21733377882943516,0.0960095466431321,0.18358808403619187,0.16737915469204623
Standard Deviation (monthly),pct,0.033465257274036014,0.028014970448943983,0.057908251439561916,0.04128691454317595
Standard Deviation (annualized),pct,0.11592705177398864,0.09704670438022331,0.2006000673415896,0.14302206735307024
Downside Deviation (monthly),pct,0.01877864722251592,0.017313137786296326,0.03541525881033901,0.023528773095296617
Maximum Drawdown,pct,-0.1045851526207695,-0.13834181894654607,-0.278234388925815,-0.1340306703767431
Benchmark Correlation,ratio,0.8635760013685538,0.6468621347586201,0.9016688554295395,1.0
Beta(*),ratio,0.6999746379996463,0.4389241431653264,1.2646638135390988,1.0
Alpha (annualized),pct,0.08886668198031004,0.023893517481408486,-0.020039758051645457,0.0
R2,pct,0.7457635101397005,0.4184306213844792,0.8130067248516157,1.0
Sharpe Ratio,ratio,1.442259986967305,0.6073155239146574,0.7573469570433579,0.8955167464271953
Sortino Ratio,ratio,2.418793220183812,0.9077713829214338,1.1896254275665257,1.47804830377899
Treynor Ratio (%),percent_number,23.886143740652994,13.427825976906096,12.012983130963022,12.807865642331265
Calmar Ratio,ratio,2.8015253767690647,1.8839368974627442,1.8323050115486228,2.6027748815285223
Modigliani–Modigliani Measure,pct,0.244669832582883,0.12525434935209417,0.1467121550861048,0.16647348400951956
Active Return,pct,0.049954624137387826,-0.07136960804891523,0.01620892934414453,
Tracking Error,pct,0.07251202802486112,0.10916370374331896,0.09464414212068464,
Information Ratio,ratio,0.6889150048356202,-0.6537851465422013,0.1712618338647505,
Skewness,ratio,-1.018019270298553,-0.6122501795683255,-0.5016903135462019,-0.44202922061312083
Excess Kurtosis,ratio,2.0787434844968398,0.4736516010215728,0.5144287746628291,0.11713820098047067
Historical Value-at-Risk (5%),pct,0.033155351496488614,0.03871137524144556,0.09660348351551995,0.04498150363067179
Analytical Value-at-Risk (5%),pct,0.037967763032760775,0.03802442048606938,0.07944566877255183,0.0540931020071268
Conditional Value-at-Risk (5%),pct,0.0684250588115142,0.05742190792834748,0.12473341118125163,0.07825251951454078
Upside Capture Ratio (%),percent_number,90.10492243207506,45.9280035743092,130.24275974328506,100.0
Downside Capture Ratio (%),percent_number,55.47414847064933,47.50127193295949,130.6131722323762,100.0
Safe Withdrawal Rate,pct,0.31663077129731637,0.24961689483429608,0.277619559162211,0.2923259169337673
Perpetual Withdrawal Rate,pct,0.1733295342983981,0.06151618690302601,0.14476577742921762,0.1303963447177346
Positive Periods,count,43 out of 58 (74.14%),41 out of 58 (70.69%),35 out of 58 (60.34%),35 out of 58 (60.34%)
Gain/Loss Ratio,ratio,1.2264642943870403,0.8488702894940923,1.3043003530888668,1.495485580978096
