metric,Current Portfolio,KAW Native Proxy,QQQ 100%,benchmark
alpha,0.07754513701532162,0.0027211555864974715,-0.010052591481424969,0.0
beta,0.6999746379996463,0.4389241431653264,1.2646638135390988,1.0
calmar_ratio,2.8015253767690647,1.8839368974627442,1.8323050115486228,2.6027748815285223
excess_kurtosis,2.0787434844968398,0.4736516010215728,0.5144287746628291,0.11713820098047067
historical_var_95,0.033155351496488614,0.03871137524144556,0.09660348351551995,0.04498150363067179
modigliani_modigliani,0.24385614856475846,0.12428236385398572,0.14624192598525326,0.1658139494982197
r_squared,0.7457635101397005,0.4184306213844792,0.8130067248516157,1.0
skewness,-1.018019270298553,-0.6122501795683255,-0.5016903135462019,-0.44202922061312083
treynor_ratio,0.23791921110932496,0.13277564360731708,0.11960832155799578,0.12741912191201282
