portfolio,rank,start,bottom,recovery,maximum_drawdown,duration_months
optimized,1,2026-06-30,2026-07-31,,-0.10806042106063263,3
optimized,2,2020-09-30,2020-10-31,2021-04-30,-0.09599770674512698,8
optimized,3,2020-02-29,2020-03-31,2020-04-30,-0.0758731514946791,3
optimized,4,2022-04-30,2022-06-30,2023-03-31,-0.06818140189830868,12
optimized,5,2018-09-30,2018-12-31,2019-02-28,-0.06331332120752042,6
optimized,6,2018-02-28,2018-03-31,2018-06-30,-0.04945229120041961,5
optimized,7,2016-03-31,2016-03-31,2016-07-31,-0.0449626310132365,5
optimized,8,2022-01-31,2022-01-31,2022-03-31,-0.03917211568730594,3
optimized,9,2026-03-31,2026-03-31,2026-04-30,-0.02846436197865232,2
optimized,10,2021-09-30,2021-09-30,2021-10-31,-0.021906850831369673,2
optimized,11,2017-11-30,2017-11-30,2018-01-31,-0.021491942612562154,3
optimized,12,2025-04-30,2025-04-30,2025-06-30,-0.018761870593989483,3
optimized,13,2023-09-30,2023-09-30,2023-11-30,-0.018172629335308055,3
optimized,14,2016-08-31,2016-08-31,2016-10-31,-0.016651924553357844,3
optimized,15,2023-05-31,2023-05-31,2023-06-30,-0.01570864421848739,2
optimized,16,2019-09-30,2019-10-31,2019-11-30,-0.014525334754442731,3
optimized,17,2019-05-31,2019-05-31,2019-06-30,-0.013790623752602538,2
optimized,18,2017-03-31,2017-03-31,2017-04-30,-0.012288203494635552,2
optimized,19,2016-11-30,2016-11-30,2016-12-31,-0.010526585398184851,2
optimized,20,2024-08-31,2024-08-31,2024-09-30,-0.0054611945119698024,2
optimized,21,2023-07-31,2023-07-31,2023-08-31,-0.0037421586267736284,2
optimized,22,2017-01-31,2017-01-31,2017-02-28,-0.0017122293027574953,2
optimized,23,2025-12-31,2025-12-31,2026-01-31,-0.0015541020547213957,2
provided,1,2020-02-29,2020-03-31,2020-05-31,-0.15671034092314784,4
provided,2,2018-10-31,2018-12-31,2019-03-31,-0.11400415682602072,6
provided,3,2020-09-30,2020-10-31,2021-01-31,-0.11358581561391323,5
provided,4,2026-07-31,2026-07-31,,-0.09594547242972495,2
provided,5,2022-04-30,2022-06-30,2022-10-31,-0.06978679161957091,7
provided,6,2018-02-28,2018-03-31,2018-06-30,-0.06150632090137209,5
provided,7,2022-12-31,2022-12-31,2023-03-31,-0.05777786582782862,4
provided,8,2025-04-30,2025-04-30,2025-06-30,-0.05154826210265906,3
provided,9,2019-05-31,2019-05-31,2019-06-30,-0.039648718280086204,2
provided,10,2023-05-31,2023-05-31,2023-06-30,-0.034307808206067936,2
provided,11,2023-09-30,2023-10-31,2023-12-31,-0.0269115399935117,4
provided,12,2017-01-31,2017-03-31,2017-05-31,-0.021751164374216536,5
provided,13,2015-12-31,2016-01-31,2016-02-29,-0.020654815630294032,3
provided,14,2017-11-30,2017-11-30,2018-01-31,-0.019289505249826755,3
provided,15,2016-03-31,2016-03-31,2016-05-31,-0.018092438699665148,3
provided,16,2024-07-31,2024-08-31,2024-10-31,-0.013888572129940102,4
provided,17,2021-09-30,2021-09-30,2021-10-31,-0.010328722923856115,2
provided,18,2019-10-31,2019-10-31,2019-11-30,-0.00952786679595552,2
provided,19,2022-01-31,2022-01-31,2022-02-28,-0.008609561192003179,2
provided,20,2016-08-31,2016-08-31,2016-10-31,-0.008260952473436611,3
provided,21,2026-03-31,2026-03-31,2026-04-30,-0.005634459525361235,2
provided,22,2021-11-30,2021-11-30,2021-12-31,-0.0026482438491620686,2
provided,23,2016-06-30,2016-06-30,2016-07-31,-0.000989826454959375,2
provided,24,2021-07-31,2021-07-31,2021-08-31,-0.0007474474243718277,2
benchmark,1,2020-02-29,2020-03-31,2020-07-31,-0.17409903775046476,6
benchmark,2,2022-01-31,2022-06-30,2023-04-30,-0.13403074427803308,16
benchmark,3,2018-10-31,2018-12-31,2019-03-31,-0.13221902700354826,6
benchmark,4,2020-09-30,2020-10-31,2021-01-31,-0.10692270447759822,5
benchmark,5,2025-02-28,2025-04-30,2025-07-31,-0.08727139198411593,6
benchmark,6,2026-07-31,2026-07-31,,-0.08234183406494822,2
benchmark,7,2018-02-28,2018-03-31,2018-06-30,-0.07198452547718837,5
benchmark,8,2023-09-30,2023-10-31,2023-12-31,-0.0516303261617066,4
benchmark,9,2019-05-31,2019-05-31,2019-07-31,-0.0435542883650647,3
benchmark,10,2016-06-30,2016-09-30,2016-11-30,-0.034128028838207536,6
benchmark,11,2021-09-30,2021-09-30,2021-10-31,-0.025774751009508656,2
benchmark,12,2016-01-31,2016-01-31,2016-02-29,-0.0253812743435623,2
benchmark,13,2016-03-31,2016-04-30,2016-05-31,-0.02101375628254354,3
benchmark,14,2017-01-31,2017-03-31,2017-04-30,-0.018360171959028837,4
benchmark,15,2025-12-31,2026-03-31,2026-04-30,-0.015483721436609477,5
benchmark,16,2024-04-30,2024-04-30,2024-05-31,-0.014966156802127317,2
benchmark,17,2017-11-30,2017-11-30,2018-01-31,-0.008686136267994415,3
benchmark,18,2023-05-31,2023-05-31,2023-06-30,-0.008622288468976391,2
benchmark,19,2019-10-31,2019-10-31,2019-11-30,-0.00715918228567336,2
benchmark,20,2024-07-31,2024-08-31,2024-09-30,-0.0046211123581549884,3
benchmark,21,2017-07-31,2017-07-31,2017-08-31,-0.0038525006934352346,2
benchmark,22,2023-07-31,2023-07-31,2023-08-31,-0.002501129608797781,2
