year,ticker,return
2017,QQQ,0.02871538664835893
2018,QQQ,0.026476250530294898
2019,QQQ,0.45001862170672036
2020,QQQ,0.39623648229251107
2021,QQQ,0.39247006106247917
2022,QQQ,-0.27823424801056973
2023,QQQ,0.5792847775967731
2024,QQQ,0.4344662217901569
2025,QQQ,0.1762189959472269
2026,QQQ,0.11548152492830766
2017,SPMO,0.07922131742343774
2018,SPMO,0.024329428563404143
2019,SPMO,0.3163259607490181
2020,SPMO,0.2011510223485926
2021,SPMO,0.33417264768384247
2022,SPMO,-0.039675792067780935
2023,SPMO,0.19917210928859763
2024,SPMO,0.663580181195853
2025,SPMO,0.23734252677294299
2026,SPMO,0.1786103586685337
2017,AIA,0.04323698790671826
2018,AIA,-0.10252281038308442
2019,AIA,0.262098185429231
2020,AIA,0.26228325162624166
2021,AIA,-0.025920444560886935
2022,AIA,-0.1735722501811905
2023,AIA,0.045428524258341874
2024,AIA,0.3749059765713496
2025,AIA,0.43827848328074737
2026,AIA,0.3661486843268471
2017,GLD,-0.06704817652936479
2018,GLD,0.02769936858222133
2019,GLD,0.22140551628345118
2020,GLD,0.1728248141688815
2021,GLD,0.03517025946051855
2022,GLD,0.07056048968396045
2023,GLD,0.1521537976406
2024,GLD,0.42956383368170137
2025,GLD,0.6148184716811123
2026,GLD,-0.013698048789798745
2017,XLE,0.12155953282783094
2018,XLE,-0.15401564986779037
2019,XLE,0.1579118741029777
2020,XLE,-0.3572020731125862
2021,XLE,0.6424728815562324
2022,XLE,0.7624173772297125
2023,XLE,0.018327721049770762
2024,XLE,0.18250522719608786
2025,XLE,0.07061266719616399
2026,XLE,0.35990437024539634
2017,144600,-0.0404213620774132
2018,144600,-0.11182027061526656
2019,144600,0.13452141419948282
2020,144600,0.3863693944768176
2021,144600,-0.1557017543859649
2022,144600,0.01948051948051943
2023,144600,-0.027600849256899873
2024,144600,0.1644104803493447
2025,144600,1.3635852240765045
2026,144600,-0.10789369297897633
2017,SCHD,0.08452503872789952
2018,SCHD,-0.02572842010340215
2019,SCHD,0.32770330381833346
2020,SCHD,0.07900428471174226
2021,SCHD,0.4130491829731058
2022,SCHD,0.04625957143323367
2023,SCHD,0.061629726289318176
2024,SCHD,0.26280304949412114
2025,SCHD,0.02720853373313492
2026,SCHD,0.23539076644439016
