portfolio,rank,start,bottom,recovery,duration_months,decline_months,recovery_months,underwater_months,maximum_drawdown_pct,annualized_recovery_rate_pct
optimized,1,2026-07-31,2026-07-31,,2,1,,2,-11.635141707257624,
optimized,2,2020-09-30,2020-10-31,2021-05-31,9,2,7.0,9,-10.7296708035586,21.479236041185736
optimized,3,2022-04-30,2022-06-30,2023-03-31,12,3,9.0,12,-8.08874012850409,11.902994342265316
optimized,4,2020-02-29,2020-03-31,2020-04-30,3,2,1.0,3,-7.659764242582712,160.20057481333131
optimized,5,2018-09-30,2018-12-31,2019-02-28,6,4,2.0,6,-7.30445623960988,57.632898610383606
optimized,6,2018-02-28,2018-03-31,2018-06-30,5,2,3.0,5,-4.6885169961275,21.17669182359718
optimized,7,2016-03-31,2016-03-31,2016-07-31,5,1,4.0,5,-4.593501012516388,15.150577894193118
optimized,8,2022-01-31,2022-01-31,2022-03-31,3,1,2.0,3,-4.203604518299741,29.391274457264906
optimized,9,2026-03-31,2026-03-31,2026-04-30,2,1,1.0,2,-2.6728022229230763,38.416979087697236
optimized,10,2017-11-30,2017-11-30,2018-01-31,3,1,2.0,3,-2.379464678317744,15.545461303042863
optimized,11,2021-09-30,2021-09-30,2021-10-31,2,1,1.0,2,-2.002069996082556,27.466826366468645
optimized,12,2019-09-30,2019-10-31,2019-12-31,4,2,2.0,4,-1.8270400034143153,11.69884613219665
optimized,13,2016-08-31,2016-08-31,2016-10-31,3,1,2.0,3,-1.602221740929688,10.176315538852698
optimized,14,2023-09-30,2023-09-30,2023-11-30,3,1,2.0,3,-1.5795149714419532,10.02388960725089
optimized,15,2017-03-31,2017-03-31,2017-04-30,2,1,1.0,2,-1.2931173149417607,16.904374556309023
optimized,16,2016-11-30,2016-11-30,2016-12-31,2,1,1.0,2,-1.2498753363508364,16.2915527347524
optimized,17,2019-05-31,2019-05-31,2019-06-30,2,1,1.0,2,-1.185997070318856,15.392633854788107
optimized,18,2025-04-30,2025-04-30,2025-05-31,2,1,1.0,2,-1.043488187275976,13.414207469122697
