kind,label,sharpe,expected_return_pct,volatility_pct,weight_QQQ_pct,weight_SPMO_pct,weight_AIA_pct,weight_GLD_pct,weight_XLE_pct,weight_144600_pct,weight_SCHD_pct,weight_138920_pct
provided,Provided Portfolio,1.1046739514678874,17.07755226630514,11.983689386441805,20.0,20.0,15.0,15.0,15.0,5.0,5.0,5.0
optimized,Optimized Portfolio,1.2475572995320916,18.18639176884423,11.500000052586353,31.062845189396022,19.817120610649145,4.508432293427264,39.4845041380944,2.7332999425322013,0.0,2.3937937114151198,0.0
benchmark,Benchmark,0.8969738950939736,16.577787123957936,14.201421507370279,,,,,,,,
