portfolio,market_type,portfolio_return,benchmark_return,active_return,occurrences,above_benchmark_count,below_benchmark_count,total_count,pct_above_benchmark,above_active_return,below_active_return,above_active_return_pct,below_active_return_pct,overall_active_return_pct
Portfolio 1,up,0.025239639374011608,0.03282786287613859,-0.007588223502126986,174,58,116,174,33.33333333333333,0.011807483644064238,-0.017286077075222596,1.1807483644064238,-1.7286077075222597,-0.7588223502126986
Portfolio 1,down,-0.02056679585944013,-0.03711226722924382,0.01654547136980369,86,70,16,86,81.3953488372093,0.02243222830706042,-0.009209090230694496,2.243222830706042,-0.9209090230694497,1.654547136980369
