kind,label,expected_return,volatility,sharpe,weight_QQQ,weight_SPMO,weight_AIA,weight_GLD,weight_XLE,weight_144600,weight_SCHD,weight_138920
provided,Provided Portfolio,0.1707755115154329,0.11983685909677734,1.1046741789378725,0.2,0.2,0.15,0.15,0.15,0.05,0.05,0.05
optimized,Optimized Portfolio,0.18186393369146037,0.11500000052586143,1.2475574386887927,0.3106283464337882,0.19817179317614658,0.04508414936205738,0.3948449304671397,0.027333081711022382,0.0,0.023937657705376685,0.0
benchmark,Benchmark,0.16577790977284235,0.14201426001677744,0.8969738825635294,,,,,,,,
