portfolio,rank,start,bottom,recovery,maximum_drawdown,duration_months,decline_months,recovery_months,underwater_months,annualized_recovery_rate
benchmark,5,2025-02-28,2025-04-30,2025-07-31,-0.08727139198411604,6,3,3.0,6,0.4408983630293659
benchmark,6,2026-07-31,2026-07-31,,-0.08234183406494822,2,1,,2,
benchmark,7,2018-02-28,2018-03-31,2018-06-30,-0.07198488411502013,5,2,3.0,5,0.3482790893502876
benchmark,8,2023-09-30,2023-10-31,2023-12-31,-0.05163032128596712,4,2,2.0,4,0.3744661177866988
benchmark,9,2019-05-31,2019-05-31,2019-07-31,-0.043553831371028084,3,1,2.0,3,0.30628159930925203
benchmark,10,2016-06-30,2016-09-30,2016-11-30,-0.0341278630744144,6,4,2.0,6,0.2316354271150325
benchmark,11,2021-09-30,2021-09-30,2021-10-31,-0.025774976120872983,2,1,1.0,2,0.36800798497901344
benchmark,12,2016-01-31,2016-01-31,2016-02-29,-0.02538119235160441,2,1,1.0,2,0.3613899655950841
benchmark,13,2016-03-31,2016-04-30,2016-05-31,-0.021013390111862096,3,2,1.0,3,0.2902651844303368
benchmark,14,2017-01-31,2017-03-31,2017-04-30,-0.018360171959028948,4,3,1.0,4,0.2490331119196585
benchmark,15,2025-12-31,2026-03-31,2026-04-30,-0.015483721436609477,5,4,1.0,5,0.20593856301340652
benchmark,16,2024-04-30,2024-04-30,2024-05-31,-0.014966277322443822,2,1,1.0,2,0.1983586467120495
benchmark,17,2017-11-30,2017-11-30,2018-01-31,-0.008686270960004294,3,1,2.0,3,0.05373953496115402
benchmark,18,2023-05-31,2023-05-31,2023-06-30,-0.008622288120753274,2,1,1.0,2,0.10950736480316436
benchmark,19,2019-10-31,2019-10-31,2019-11-30,-0.0071594025318534316,2,1,1.0,2,0.09004812697723019
benchmark,20,2024-07-31,2024-08-31,2024-09-30,-0.004621226634255349,3,2,1.0,3,0.05715702189694727
benchmark,21,2017-07-31,2017-07-31,2017-08-31,-0.00385235895147118,2,1,1.0,2,0.04740699447725727
benchmark,22,2023-07-31,2023-07-31,2023-08-31,-0.002501131868121509,2,1,1.0,2,0.030507273021969317
