portfolio,rank,date,month_since_bottom,recovery_progress_pct,drawdown,maximum_drawdown,recovered
optimized,1,2026-07-31,0,0.0,-0.11635146648359218,-0.11635146648359218,False
optimized,1,2026-08-31,1,23.39629868022364,-0.08912952986627065,-0.11635146648359218,False
optimized,2,2020-10-31,0,0.0,-0.10729666909478897,-0.10729666909478897,True
optimized,2,2020-11-30,1,17.309981652316136,-0.08872363536093464,-0.10729666909478897,True
optimized,2,2020-12-31,2,51.44115812171706,-0.05210201988640306,-0.10729666909478897,True
optimized,2,2021-01-31,3,63.170105584191624,-0.03951724993929007,-0.10729666909478897,True
optimized,2,2021-02-28,4,50.771460655145496,-0.052820582961046525,-0.10729666909478897,True
optimized,2,2021-03-31,5,62.32033930016409,-0.04042902085714217,-0.10729666909478897,True
optimized,2,2021-04-30,6,84.4417194283545,-0.016693516821797316,-0.10729666909478897,True
optimized,2,2021-05-31,7,100.0,0.0,-0.10729666909478897,True
optimized,3,2022-06-30,0,0.0,-0.08088730102970021,-0.08088730102970021,True
optimized,3,2022-07-31,1,59.44733180529098,-0.03280195879822978,-0.08088730102970021,True
optimized,3,2022-08-31,2,60.588754650756826,-0.03187869266519605,-0.08088730102970021,True
optimized,3,2022-09-30,3,50.463758225096235,-0.04006852900326652,-0.08088730102970021,True
optimized,3,2022-10-31,4,88.33595729256899,-0.00943472933699252,-0.08088730102970021,True
optimized,3,2022-11-30,5,86.68235375932888,-0.010772284604762206,-0.08088730102970021,True
optimized,3,2022-12-31,6,8.975061476819427,-0.07362761603534462,-0.08088730102970021,True
optimized,3,2023-01-31,7,41.10916538094712,-0.04763520667721621,-0.08088730102970021,True
optimized,3,2023-02-28,8,75.5320024775321,-0.0197915028119382,-0.08088730102970021,True
optimized,3,2023-03-31,9,100.0,0.0,-0.08088730102970021,True
optimized,4,2020-03-31,0,0.0,-0.07659752600564096,-0.07659752600564096,True
optimized,4,2020-04-30,1,100.0,0.0,-0.07659752600564096,True
optimized,5,2018-12-31,0,0.0,-0.07304471362492071,-0.07304471362492071,True
optimized,5,2019-01-31,1,78.96816367871328,-0.015362644610945941,-0.07304471362492071,True
optimized,5,2019-02-28,2,100.0,0.0,-0.07304471362492071,True
optimized,6,2018-03-31,0,0.0,-0.04688521200399831,-0.04688521200399831,True
optimized,6,2018-04-30,1,18.913195392159178,-0.03801772024765404,-0.04688521200399831,True
optimized,6,2018-05-31,2,83.42195626541246,-0.0077726509510769315,-0.04688521200399831,True
optimized,6,2018-06-30,3,100.0,0.0,-0.04688521200399831,True
optimized,7,2016-03-31,0,0.0,-0.0459350472600234,-0.0459350472600234,True
optimized,7,2016-04-30,1,14.91189051113177,-0.039085263306372076,-0.0459350472600234,True
optimized,7,2016-05-31,2,90.84175766694375,-0.004206842943876854,-0.0459350472600234,True
optimized,7,2016-06-30,3,89.0964911254639,-0.005008531954519002,-0.0459350472600234,True
optimized,7,2016-07-31,4,100.0,0.0,-0.0459350472600234,True
optimized,8,2022-01-31,0,0.0,-0.04203609108147066,-0.04203609108147066,True
optimized,8,2022-02-28,1,39.79825863646664,-0.02530645883220628,-0.04203609108147066,True
optimized,8,2022-03-31,2,100.0,0.0,-0.04203609108147066,True
optimized,9,2026-03-31,0,0.0,-0.026727976410700238,-0.026727976410700238,True
optimized,9,2026-04-30,1,100.0,0.0,-0.026727976410700238,True
optimized,10,2017-11-30,0,0.0,-0.023794529295844025,-0.023794529295844025,True
optimized,10,2017-12-31,1,30.3036168390876,-0.016583926309367003,-0.023794529295844025,True
optimized,10,2018-01-31,2,100.0,0.0,-0.023794529295844025,True
optimized,11,2021-09-30,0,0.0,-0.020020651232199427,-0.020020651232199427,True
optimized,11,2021-10-31,1,100.0,0.0,-0.020020651232199427,True
optimized,12,2019-10-31,0,0.0,-0.01827029013525261,-0.01827029013525261,True
