date,optimized_balance,provided_balance,benchmark_balance
2021-11-30,0.9990460100888333,0.9958862747822107,0.9919652259008159
2021-12-31,1.0277475861124403,1.0098704801340412,1.0378412764469447
2022-01-31,0.9906192868823274,0.9725703121368584,0.9831042317237609
2022-02-28,0.9990297668870709,0.9645028527537755,0.9540858914523429
2022-03-31,1.0097805885071591,0.9515116769315016,0.9899503488366652
2022-04-30,0.9464810095493256,0.8807008895182262,0.9030633643755275
2022-05-31,0.9313265316149668,0.8709648462007182,0.9051018416529162
2022-06-30,0.8909632015092541,0.8290242935674933,0.8304667696949447
2022-07-31,0.9206083783990326,0.8536217651263579,0.9069421621849174
2022-08-31,0.8863393594154522,0.8222249685067308,0.8699372404419489
2022-09-30,0.8281415345379641,0.7491492142001488,0.7895151552348318
2022-10-31,0.8416161027477118,0.7461421853776052,0.8536834971859047
2022-11-30,0.9005628499992282,0.8174586402154372,0.9011409746335268
2022-12-31,0.8846011184333645,0.795364804011175,0.8492096621682627
2023-01-31,0.9406206982013693,0.8595401607099673,0.902614393351912
2023-02-28,0.9023733294203327,0.8168924584163988,0.8799202723847314
2023-03-31,0.9526093293356105,0.8619832222722709,0.9125456890914995
2023-04-30,0.9628561891546823,0.8644249344622309,0.9271236754646087
2023-05-31,0.9542804810732078,0.8607414909677011,0.9314033225414919
2023-06-30,0.9724813730577131,0.8777420992076056,0.9917580684735026
2023-07-31,0.9900589651206503,0.8960560662214219,1.0242215437771196
2023-08-31,0.9725288575684987,0.8657505893036938,1.007576022807019
2023-09-30,0.9205411552569404,0.8189271398809398,0.9597819765525855
2023-10-31,0.9293602265990557,0.8041870972288137,0.9389464609673023
2023-11-30,0.9915641895283557,0.8708613802067133,1.0247136755510717
2023-12-31,1.031658939346976,0.9162383019802584,1.0714972357984471
2024-01-31,1.0285480660391955,0.8982358223407939,1.088562386986516
2024-02-29,1.04876382648281,0.9163645849597217,1.1453709351113197
2024-03-31,1.1004052919506255,0.9477234344318375,1.1828268831517295
2024-04-30,1.0813671525817443,0.9194200499615492,1.1351357423315958
2024-05-31,1.1171300098755648,0.9438639369146664,1.1925505253634252
2024-06-30,1.1369589211760376,0.9669866367809589,1.2346239649747317
2024-07-31,1.1743515853007838,0.9913074871563898,1.2495741685247992
2024-08-31,1.2001753082194992,1.0062397145400932,1.2787712467475287
2024-09-30,1.239215501784627,1.0348961098176834,1.3056312660160752
2024-10-31,1.2428754076613304,1.0118793405348472,1.2939802730565928
2024-11-30,1.26355479873492,1.0162858287892598,1.371145032736259
2024-12-31,1.2287677578550453,0.9803921827949167,1.3381550529757453
2025-01-31,1.2765090314144527,1.0091171217404513,1.374093004117209
2025-02-28,1.2922758935130256,1.0291644471707857,1.3566491155731495
2025-03-31,1.306808793919643,1.0324501990272663,1.2810577034426966
2025-04-30,1.3265028208410645,1.0456723945540833,1.2699505784603613
2025-05-31,1.3535244389479322,1.0673812785396115,1.3497608299110655
2025-06-30,1.3917504103276417,1.1185358059520456,1.4191198013443187
2025-07-31,1.3990017738000986,1.1201646341474307,1.4518043248914494
2025-08-31,1.4385073443128789,1.1426896521025192,1.4815944559201168
2025-09-30,1.5360325373000683,1.2172328946640893,1.5343694937265246
2025-10-31,1.576861435396001,1.270026728611739,1.5709448632399534
2025-11-30,1.6121296330667063,1.2723821857427613,1.5740082134411788
2025-12-31,1.61844780885292,1.281818998073884,1.5752634896480107
2026-01-31,1.706267278327509,1.3646254941147364,1.5984792958093248
2026-02-28,1.7730253530058542,1.447797158024417,1.58466530432723
2026-03-31,1.6453260258256182,1.3325838845150904,1.506415218324651
2026-04-30,1.705847239708417,1.4251425190294353,1.6646681845454463
2026-05-31,1.73514145654442,1.4980893855960973,1.752272601314723
2026-06-30,1.651893711135556,1.4655386736305949,1.7342372191379725
2026-07-31,1.6439715119520488,1.3963606719376767,1.7348410444136166
2026-08-31,1.7330666412780582,1.4696409347357757,1.7866750502939677
