date,SPY Candidate_drawdown_pct,benchmark_drawdown_pct
2021-11-30,0.0,0.0
2021-12-31,0.0,0.0
2022-01-31,-5.632754298219533,-4.152000108220788
2022-02-28,-7.223461294787703,-4.009540339481587
2022-03-31,-2.376687927897825,-3.4509469723628117
2022-04-30,-6.707457556347185,-6.645324496508687
2022-05-31,-8.742060233904814,-8.691629520110844
2022-06-30,-13.167404257974324,-11.045582973903677
2022-07-31,-4.623294839338232,-6.88900057098526
2022-08-31,-5.18716057058427,-8.819415495754711
2022-09-30,-8.316603939251877,-11.887768660792675
2022-10-31,-1.4555598739853792,-12.507254355309993
2022-11-30,-3.0221880374875165,-10.410254669170671
2022-12-31,-11.898879871181467,-13.834485817247899
2023-01-31,-9.743342014821831,-9.949451824631561
2023-02-28,-5.80744389158604,-9.371523661516235
2023-03-31,-3.933990701842205,-6.7811793929005715
2023-04-30,0.0,-4.4759741096440315
2023-05-31,-0.8622439339022847,-5.91226969175056
2023-06-30,0.0,-5.7570305192368725
2023-07-31,-0.2501200890539512,-5.550600628314795
2023-08-31,0.0,-5.51632128605638
2023-09-30,-3.042433646534315,-7.407666531735657
2023-10-31,-5.163025457894365,-9.537799129802483
2023-11-30,-1.0845715795312794,-5.643549048150687
2023-12-31,0.0,-0.2910464103875188
2024-01-31,0.0,-0.09831857290097945
2024-02-29,0.0,0.0
2024-03-31,0.0,0.0
2024-04-30,-1.4966215822457274,0.0
2024-05-31,0.0,0.0
2024-06-30,0.0,0.0
2024-07-31,-0.17778314018821462,0.0
2024-08-31,-0.4621336965177747,-0.8831171955664074
2024-09-30,0.0,0.0
2024-10-31,0.0,0.0
2024-11-30,0.0,0.0
2024-12-31,0.0,0.0
2025-01-31,0.0,0.0
2025-02-28,-0.7079191146383779,0.0
2025-03-31,-4.811243472416438,0.0
2025-04-30,-8.72715880079884,-0.5361002206557219
2025-05-31,-6.625493943268768,-1.391181125432761
2025-06-30,-3.3969185588284545,-0.058267245248311283
2025-07-31,0.0,0.0
2025-08-31,0.0,0.0
2025-09-30,0.0,0.0
2025-10-31,0.0,0.0
2025-11-30,0.0,0.0
2025-12-31,-1.0146737119576477,0.0
2026-01-31,-0.7134922069951144,0.0
2026-02-28,-1.326283801664141,0.0
2026-03-31,-1.5483721436609588,-5.300540438853862
2026-04-30,0.0,-1.6964524606459697
2026-05-31,0.0,0.0
2026-06-30,0.0,-1.2635737096382438
2026-07-31,-8.234183406494811,-8.939423352289621
2026-08-31,-8.163424536463538,-8.279984158140918
