year,TO-BE TIME Nasdaq Active,TO-BE QQQ Proxy,TO-BE QLD Proxy,TO-BE PTF Proxy,benchmark
2022,-0.04255253305596407,-0.025213710650127674,-0.07933628551860827,-0.0050672703343516146,-0.04775857053586785
2023,0.278448633547175,0.23410899423549503,0.3813643475609987,0.18860187012386764,0.27935864959075696
2024,0.5000420875840221,0.38870493532693806,0.450087647533175,0.44696615414632457,0.4341168324371112
2025,0.3523241120808236,0.3208294971473653,0.35801142265215624,0.2721392061139669,0.15354070455012603
2026,0.2715281190689429,0.19951948160780852,0.2392021568527669,0.24800318676355526,0.0888832490115481
