asset,TO-BE TIME Nasdaq Active,TO-BE QQQ Proxy,TO-BE QLD Proxy,TO-BE PTF Proxy
SPMO,0.19620051731617633,0.2498624012226794,0.17615285629230926,0.19527197359409917
426030,0.5302601609466819,0.0,0.0,0.0
QQQ,0.0,0.3586822728733693,0.0,0.0
QLD,0.0,0.0,0.5808249480507438,0.0
PTF,0.0,0.0,0.0,0.5385702512116513
277540,0.1492611085290934,0.18461102362249227,0.1309698754141381,0.14088552327333623
132030,0.03526377358105391,0.05184997795966188,0.03054402898446753,0.02648525925518714
144600,0.03929268742908142,0.05379895060887245,0.03206807031701666,0.029999094060129135
XLE,0.04972175219791305,0.10119537371292472,0.049440220941324664,0.068787898605597
