date,portfolio,ticker,cumulative_active_contribution
2022-06-30,TO-BE TIME Nasdaq Active,SPMO,0.00011683927356318514
2022-07-31,TO-BE TIME Nasdaq Active,SPMO,-0.0024998305214040785
2022-08-31,TO-BE TIME Nasdaq Active,SPMO,-0.00016673663494446442
2022-09-30,TO-BE TIME Nasdaq Active,SPMO,0.004669640352744931
2022-10-31,TO-BE TIME Nasdaq Active,SPMO,0.015510261858213716
2022-11-30,TO-BE TIME Nasdaq Active,SPMO,0.011051217129810876
2022-12-31,TO-BE TIME Nasdaq Active,SPMO,0.017721882770194198
2023-01-31,TO-BE TIME Nasdaq Active,SPMO,0.0027295421931835765
2023-02-28,TO-BE TIME Nasdaq Active,SPMO,-0.001660628738777481
2023-03-31,TO-BE TIME Nasdaq Active,SPMO,-0.00548191473601034
2023-04-30,TO-BE TIME Nasdaq Active,SPMO,-0.002795950018872162
2023-05-31,TO-BE TIME Nasdaq Active,SPMO,-0.01457591729536616
2023-06-30,TO-BE TIME Nasdaq Active,SPMO,-0.015448983612719448
2023-07-31,TO-BE TIME Nasdaq Active,SPMO,-0.018374263219062083
2023-08-31,TO-BE TIME Nasdaq Active,SPMO,-0.010099444242151147
2023-09-30,TO-BE TIME Nasdaq Active,SPMO,-0.0025035318217098163
2023-10-31,TO-BE TIME Nasdaq Active,SPMO,-0.0025892994939499944
2023-11-30,TO-BE TIME Nasdaq Active,SPMO,-0.0012888562302340496
2023-12-31,TO-BE TIME Nasdaq Active,SPMO,0.005837339239381211
2024-01-31,TO-BE TIME Nasdaq Active,SPMO,0.01089979084075865
2024-02-29,TO-BE TIME Nasdaq Active,SPMO,0.02350651962612247
2024-03-31,TO-BE TIME Nasdaq Active,SPMO,0.025310225334893622
2024-04-30,TO-BE TIME Nasdaq Active,SPMO,0.02240424960209466
2024-05-31,TO-BE TIME Nasdaq Active,SPMO,0.026942751368430495
2024-06-30,TO-BE TIME Nasdaq Active,SPMO,0.03495868224806611
2024-07-31,TO-BE TIME Nasdaq Active,SPMO,0.029277265345551418
2024-08-31,TO-BE TIME Nasdaq Active,SPMO,0.03208837691550763
2024-09-30,TO-BE TIME Nasdaq Active,SPMO,0.03116948879317944
2024-10-31,TO-BE TIME Nasdaq Active,SPMO,0.033456263384397375
2024-11-30,TO-BE TIME Nasdaq Active,SPMO,0.03477850561287856
2024-12-31,TO-BE TIME Nasdaq Active,SPMO,0.038141050896040564
2025-01-31,TO-BE TIME Nasdaq Active,SPMO,0.04144898765184753
2025-02-28,TO-BE TIME Nasdaq Active,SPMO,0.04351988461890031
2025-03-31,TO-BE TIME Nasdaq Active,SPMO,0.04040071898341835
2025-04-30,TO-BE TIME Nasdaq Active,SPMO,0.04634291698437516
2025-05-31,TO-BE TIME Nasdaq Active,SPMO,0.05618862318422205
2025-06-30,TO-BE TIME Nasdaq Active,SPMO,0.059791935918181334
2025-07-31,TO-BE TIME Nasdaq Active,SPMO,0.060947306789447715
2025-08-31,TO-BE TIME Nasdaq Active,SPMO,0.05822311168926718
2025-09-30,TO-BE TIME Nasdaq Active,SPMO,0.05930533783816415
2025-10-31,TO-BE TIME Nasdaq Active,SPMO,0.055539990654800205
2025-11-30,TO-BE TIME Nasdaq Active,SPMO,0.05247505917790859
2025-12-31,TO-BE TIME Nasdaq Active,SPMO,0.052736218918673805
2026-01-31,TO-BE TIME Nasdaq Active,SPMO,0.04945633084494988
2026-02-28,TO-BE TIME Nasdaq Active,SPMO,0.0505199736955955
2026-03-31,TO-BE TIME Nasdaq Active,SPMO,0.048510878298480185
2026-04-30,TO-BE TIME Nasdaq Active,SPMO,0.06583209983752579
2026-05-31,TO-BE TIME Nasdaq Active,SPMO,0.08063155406797337
2026-06-30,TO-BE TIME Nasdaq Active,SPMO,0.09816579938173883
2026-07-31,TO-BE TIME Nasdaq Active,SPMO,0.07798793878282033
2026-08-31,TO-BE TIME Nasdaq Active,SPMO,0.07616730312129158
2022-06-30,TO-BE TIME Nasdaq Active,426030,-0.006624923446965891
2022-07-31,TO-BE TIME Nasdaq Active,426030,-0.00033267527593844326
2022-08-31,TO-BE TIME Nasdaq Active,426030,0.0034332827458361855
2022-09-30,TO-BE TIME Nasdaq Active,426030,-0.0013395679743631872
2022-10-31,TO-BE TIME Nasdaq Active,426030,-0.015911462611724582
2022-11-30,TO-BE TIME Nasdaq Active,426030,-0.03576561248675844
2022-12-31,TO-BE TIME Nasdaq Active,426030,-0.03627393471707573
2023-01-31,TO-BE TIME Nasdaq Active,426030,-0.023339761872389037
2023-02-28,TO-BE TIME Nasdaq Active,426030,-0.01345812919257125
2023-03-31,TO-BE TIME Nasdaq Active,426030,0.005239186957170187
2023-04-30,TO-BE TIME Nasdaq Active,426030,-0.005436549802164077
2023-05-31,TO-BE TIME Nasdaq Active,426030,0.04157724146893957
2023-06-30,TO-BE TIME Nasdaq Active,426030,0.03165229099066415
2023-07-31,TO-BE TIME Nasdaq Active,426030,0.04078575041722319
2023-08-31,TO-BE TIME Nasdaq Active,426030,0.03963143541782186
2023-09-30,TO-BE TIME Nasdaq Active,426030,0.03059104059377973
2023-10-31,TO-BE TIME Nasdaq Active,426030,0.03230660838342231
2023-11-30,TO-BE TIME Nasdaq Active,426030,0.05629587876400405
2023-12-31,TO-BE TIME Nasdaq Active,426030,0.06544296631737165
2024-01-31,TO-BE TIME Nasdaq Active,426030,0.06762576250588548
2024-02-29,TO-BE TIME Nasdaq Active,426030,0.08651810372674132
2024-03-31,TO-BE TIME Nasdaq Active,426030,0.09503002255299807
2024-04-30,TO-BE TIME Nasdaq Active,426030,0.09384994683526901
2024-05-31,TO-BE TIME Nasdaq Active,426030,0.10489783500204003
2024-06-30,TO-BE TIME Nasdaq Active,426030,0.10526776143558327
2024-07-31,TO-BE TIME Nasdaq Active,426030,0.08881756337143883
2024-08-31,TO-BE TIME Nasdaq Active,426030,0.08109291837389908
2024-09-30,TO-BE TIME Nasdaq Active,426030,0.0901397833482947
2024-10-31,TO-BE TIME Nasdaq Active,426030,0.10946860250024643
2024-11-30,TO-BE TIME Nasdaq Active,426030,0.12841055984355657
2024-12-31,TO-BE TIME Nasdaq Active,426030,0.14813124413134143
2025-01-31,TO-BE TIME Nasdaq Active,426030,0.14886502943471083
2025-02-28,TO-BE TIME Nasdaq Active,426030,0.11431986863900495
2025-03-31,TO-BE TIME Nasdaq Active,426030,0.0950290828954455
2025-04-30,TO-BE TIME Nasdaq Active,426030,0.11630754148388196
2025-05-31,TO-BE TIME Nasdaq Active,426030,0.14246858739339993
2025-06-30,TO-BE TIME Nasdaq Active,426030,0.18288647910987899
2025-07-31,TO-BE TIME Nasdaq Active,426030,0.19417449445524337
2025-08-31,TO-BE TIME Nasdaq Active,426030,0.1895336866505495
2025-09-30,TO-BE TIME Nasdaq Active,426030,0.20749996610602114
2025-10-31,TO-BE TIME Nasdaq Active,426030,0.2122903026631078
2025-11-30,TO-BE TIME Nasdaq Active,426030,0.18780399973550418
2025-12-31,TO-BE TIME Nasdaq Active,426030,0.18270503211299785
2026-01-31,TO-BE TIME Nasdaq Active,426030,0.2134370426622187
2026-02-28,TO-BE TIME Nasdaq Active,426030,0.2119262601558621
2026-03-31,TO-BE TIME Nasdaq Active,426030,0.19459908020012726
2026-04-30,TO-BE TIME Nasdaq Active,426030,0.2653497604536311
2026-05-31,TO-BE TIME Nasdaq Active,426030,0.3159708033267568
2026-06-30,TO-BE TIME Nasdaq Active,426030,0.323236316819276
2026-07-31,TO-BE TIME Nasdaq Active,426030,0.27536303411981466
