date,TO-BE TIME Nasdaq Active_drawdown,TO-BE QQQ Proxy_drawdown,TO-BE QLD Proxy_drawdown,TO-BE PTF Proxy_drawdown,benchmark_drawdown
2022-06-30,0.0,0.0,0.0,0.0,0.0
2022-07-31,0.0,0.0,0.0,0.0,0.0
2022-08-31,0.0,0.0,-0.017030925024989707,-0.0010898799451528607,-0.005911827182006557
2022-09-30,-0.040861727547008786,-0.040215316365946,-0.08925344400027668,-0.04757004046727209,-0.03872331225160741
2022-10-31,0.0,0.0,-0.029970615605436013,0.0,0.0
2022-11-30,-0.006900613457640148,0.0,-0.005968205096619328,0.0,-0.01589752281902579
2022-12-31,-0.057126700727296864,-0.05628688814327021,-0.08787495731694361,-0.0561180889890428,-0.11816850030774517
2023-01-31,-0.018922292723140277,-0.021767617282973273,-0.02668077022521531,-0.029995204818674015,-0.08410197190265023
2023-02-28,-0.010166571813114755,-0.015935155142587587,-0.02519957288001351,-0.017321538449300178,-0.04416155992475701
2023-03-31,0.0,0.0,0.0,0.0,-0.025150382002842475
2023-04-30,0.0,0.0,0.0,0.0,0.0
2023-05-31,0.0,-0.020033416643282065,0.0,-0.002449351235761399,-0.00862243968723464
2023-06-30,0.0,0.0,0.0,0.0,0.0
2023-07-31,0.0,0.0,0.0,0.0,-0.0025010628457038386
2023-08-31,0.0,0.0,0.0,0.0,0.0
2023-09-30,-0.01776469418033222,-0.011304692194443744,-0.029071731538539702,-0.02688413184966898,-0.030743965021968078
2023-10-31,-0.034657940131659126,-0.028126619655327145,-0.051734686822556,-0.05504579554784117,-0.05163032616170671
2023-11-30,0.0,0.0,0.0,-0.013920540293695938,-0.010845647383160073
2023-12-31,0.0,0.0,0.0,0.0,0.0
2024-01-31,0.0,0.0,0.0,0.0,0.0
2024-02-29,0.0,0.0,0.0,0.0,0.0
2024-03-31,0.0,0.0,0.0,0.0,0.0
2024-04-30,0.0,0.0,-0.00460141868251962,0.0,-0.01496603628179638
2024-05-31,0.0,0.0,0.0,0.0,0.0
2024-06-30,0.0,0.0,0.0,0.0,0.0
2024-07-31,-0.019204733541367314,-0.0113026625539292,-0.019084643214404506,-0.015270266554048062,-0.0017778314018822572
2024-08-31,-0.027500301010037753,-0.015590355027163438,-0.023381466774673565,-0.01116967606957131,-0.004621226634255127
2024-09-30,-0.0006023145275451114,0.0,0.0,0.0,0.0
2024-10-31,0.0,0.0,0.0,0.0,0.0
2024-11-30,0.0,0.0,0.0,0.0,0.0
2024-12-31,0.0,0.0,0.0,0.0,0.0
2025-01-31,0.0,0.0,0.0,0.0,0.0
2025-02-28,-0.021682293822574694,0.0,-0.0014077413071755807,-0.010567855251509939,-0.007079293570005474
2025-03-31,-0.04301107101717916,-0.00864560224251476,-0.03430303016516589,-0.026691222101396628,-0.04811242759315604
2025-04-30,-0.06305724034809801,-0.04399382487909964,-0.07359638960298209,-0.06601166718181828,-0.08727158028708815
2025-05-31,-0.01757174849640919,-0.01460446733904397,-0.020897306042336528,-0.0385769251743765,-0.06625503575210223
2025-06-30,0.0,0.0,0.0,0.0,-0.033969188750031964
2025-07-31,0.0,0.0,0.0,0.0,0.0
2025-08-31,0.0,0.0,0.0,0.0,0.0
2025-09-30,0.0,0.0,0.0,0.0,0.0
2025-10-31,0.0,0.0,0.0,0.0,0.0
2025-11-30,0.0,0.0,0.0,0.0,0.0
2025-12-31,0.0,0.0,0.0,0.0,-0.015288936878936399
2026-01-31,0.0,0.0,0.0,0.0,-0.007135010110931761
2026-02-28,0.0,0.0,-0.0009078894372128721,0.0,-0.01326283801664141
2026-03-31,-0.040646701920327155,-0.023005571001336822,-0.04095594596739094,-0.02730539538734722,-0.01548372143660981
2026-04-30,0.0,0.0,0.0,0.0,0.0
2026-05-31,0.0,0.0,0.0,0.0,0.0
2026-06-30,0.0,0.0,0.0,0.0,0.0
2026-07-31,-0.12273108781972897,-0.0930450421507738,-0.11218378533307549,-0.1520165393705415,-0.0823418340649481
2026-08-31,-0.10406564492007342,-0.0659869155591376,-0.07628906909599598,-0.13960672182123002,-0.08163424536463548
