point,expected_return,volatility,sharpe,weight_133690,weight_402970,weight_069500,weight_168580,weight_200250,weight_101280,weight_TLT,weight_385560,weight_GLD
1,0.08178257687735388,0.08132805538775167,0.5334905535892274,0.0,0.25335560903713195,0.0,0.15413723081356182,0.24137538501858588,0.036003522893905744,0.0,0.14900080262281817,0.16612744961399648
2,0.08367823540639341,0.08133562572415719,0.5567475189010203,0.0,0.2535570989663054,0.0,0.1520119433326055,0.2366884091412457,0.04198201059881953,0.0,0.1454540728427177,0.17030646511830624
3,0.08557389393543295,0.0813583325068865,0.5798922482246379,0.0,0.25375858889547903,0.0,0.14988665585164912,0.23200143326390532,0.0479604983037333,0.0,0.14190734306261713,0.17448548062261607
4,0.08746955246447247,0.08139616306826743,0.6029120173282163,0.0,0.2539600788246525,0.0,0.14776136837069284,0.2273144573865651,0.05393898600864702,0.0,0.13836061328251667,0.17866449612692586
5,0.08936521099351197,0.08144909633473417,0.6257943390535645,0.0,0.2541615687538261,0.0,0.14563608088973648,0.2226274815092248,0.059917473713560786,0.0,0.1348138835024162,0.1828435116312356
6,0.09126086952255148,0.081517102885392,0.6485269969747449,0.0,0.25436305868299947,0.0,0.14351079340878017,0.21794050563188458,0.06589596141847465,0.0,0.1312671537223157,0.18702252713554537
7,0.09315652805159104,0.08160014503347598,0.6710980776188384,0.0,0.2545645486121731,0.0,0.14138550592782387,0.21325352975454429,0.07187444912338842,0.0,0.1277204239422152,0.1912015426398552
8,0.09505218658063055,0.08169817693017999,0.6934960010532861,0.0,0.25476603854134666,0.0,0.13926021844686753,0.208566553877204,0.07785293682830215,0.0,0.12417369416211474,0.19538055814416494
9,0.09694784510967008,0.08181114469019257,0.7157095496609334,0.0,0.25496752847052023,0.0,0.1371349309659112,0.20387957799986373,0.08383142453321589,0.0,0.12062696438201422,0.19955957364847476
10,0.09884350363870961,0.08193898653814437,0.7377278949424466,0.0,0.25516901839969375,0.0,0.13500964348495487,0.19919260212252332,0.08980991223812983,0.0,0.11708023460191369,0.20373858915278456
11,0.10073916216774913,0.0820816329750495,0.7595406222058612,0.0,0.2553705083288672,0.0,0.1328843560039985,0.1945056262451831,0.09578839994304353,0.0,0.11353350482181321,0.20791760465709436
12,0.10263482069678864,0.08223900696371045,0.7811377530242903,0.0,0.2555719982580407,0.0,0.13075906852304223,0.18981865036784287,0.10176688764795731,0.0,0.10998677504171278,0.2120966201614041
13,0.10453047922582817,0.08241102413195486,0.8025097653649614,0.0,0.2557734881872143,0.0,0.1286337810420859,0.1851316744905026,0.10774537535287101,0.0,0.10644004526161227,0.21627563566571392
14,0.10642613775486767,0.08259759299248393,0.8236476113153972,0.0,0.2559749781163878,0.0,0.12650849356112956,0.18044469861316237,0.11372386305778483,0.0,0.1028933154815118,0.2204546511700237
15,0.1083217962839072,0.08279861517803522,0.8445427323553897,0.0,0.2561764680455613,0.0,0.12438320608017327,0.17575772273582208,0.11970235076269861,0.0,0.09934658570141135,0.22463366667433343
16,0.11021745481294673,0.08301393990833389,0.8651875492965183,0.0004902750887010102,0.25631122490206165,0.0,0.12226373740085447,0.17109312267266236,0.12517109121873843,0.0,0.09587769454487433,0.22879285417210782
17,0.11211311334198629,0.08324220949065529,0.8855878070374256,0.0026990209329692764,0.2562120746389449,0.0,0.12016466429266912,0.1665069524200059,0.12885310875103834,0.0,0.09268163674522245,0.23288254221915006
18,0.11400877187102576,0.0834827584275362,0.9057432421863786,0.004907766777237463,0.25611292437582844,0.0,0.11806559118448383,0.1619207821673496,0.13253512628333777,0.0,0.08948557894557073,0.2369722302661922
19,0.11590443040006526,0.08373548089344889,0.9256482674588951,0.007116512621505621,0.2560137741127116,0.0,0.1159665180762985,0.15733461191469314,0.13621714381563776,0.0,0.08628952114591891,0.24106191831323445
20,0.11780008892910482,0.08400026701294751,0.9452977254305475,0.009325258465773935,0.255914623849595,0.0,0.11386744496811313,0.15274844166203666,0.13989916134793745,0.0,0.08309346334626708,0.24515160636027672
21,0.11969574745814436,0.08427700307935944,0.9646868884905703,0.01153400431004212,0.2558154735864783,0.0,0.11176837185992779,0.14816227140938024,0.14358117888023733,0.0,0.0798974055466152,0.249241294407319
22,0.12159140598718385,0.08456557177618322,0.9838114572342804,0.013742750154310299,0.25571632332336164,0.0,0.1096692987517425,0.1435761011567239,0.14726319641253707,0.0,0.07670134774696348,0.25333098245436114
23,0.1234870645162234,0.08486585240030166,1.0026675573662658,0.01595149599857856,0.25561717306024506,0.0,0.10757022564355716,0.13898993090406753,0.1509452139448367,0.0,0.07350528994731166,0.25742067050140344
24,0.1253827230452629,0.08517772108614628,1.0212517351935135,0.01816024184284675,0.2555180227971283,0.0,0.10547115253537183,0.13440376065141105,0.15462723147713664,0.0,0.0703092321476598,0.2615103585484456
25,0.12727838157430243,0.08550105102998105,1.0395609517937787,0.02036898768711497,0.2554188725340117,0.0,0.10337207942718649,0.1298175903987546,0.15830924900943635,0.0,0.06711317434800802,0.26560004659548786
26,0.12917404010334194,0.08583571271350912,1.0575925759494265,0.022577733531383204,0.25531972227089494,0.0,0.10127300631900116,0.1252314201460982,0.1619912665417361,0.0,0.06391711654835622,0.2696897346425301
27,0.13106969863238147,0.08618157412604666,1.0753443759408596,0.024786479375651375,0.25522057200777826,0.0,0.09917393321081587,0.12064524989344189,0.165673284074036,0.0,0.06072105874870443,0.2737794226895723
28,0.132965357161421,0.08653850098455039,1.0928145102963784,0.02699522521991962,0.2551214217446617,0.0,0.09707486010263049,0.11605907964078538,0.1693553016063357,0.0,0.057525000949052565,0.2778691107366146
29,0.13486101569046055,0.08690635695083149,1.1100015175970475,0.02920397106418791,0.25502227148154505,0.0,0.09497578699444517,0.11147290938812893,0.17303731913863538,0.0,0.05432894314940079,0.2819587987836568
30,0.1367566742195,0.08728500384533527,1.1269043054358507,0.03141271690845599,0.2549231212184284,0.0,0.09287671388625986,0.10688673913547259,0.17671933667093512,0.0,0.05113288534974901,0.28604848683069894
31,0.13865233274853955,0.0876743018569159,1.1435221386302283,0.033621462752724256,0.2548239709553116,0.0,0.09077764077807451,0.10230056888281623,0.18040135420323494,0.0,0.04793682755009718,0.29013817487774124
32,0.14054799127757905,0.08807410974808415,1.1598546267859866,0.03583020859699236,0.2547248206921951,0.0,0.08867856766988921,0.09771439863015971,0.18408337173553485,0.0,0.04474076975044539,0.29422786292478337
33,0.14244364980661858,0.08848428505525766,1.1759017113087835,0.038038954441260694,0.2546256704290784,0.0,0.08657949456170386,0.09312822837750338,0.1877653892678344,0.0,0.04154471195079358,0.2983175509718257
34,0.1443393083356581,0.08890468428359195,1.1916636519567967,0.040247700285528945,0.25452652016596183,0.0,0.08448042145351851,0.08854205812484689,0.19144740680013406,0.0,0.03834865415114174,0.3024072390188679
35,0.1462349668646976,0.08933516309602164,1.2071410130250622,0.042456446129797126,0.25442736990284515,0.0,0.08238134834533321,0.08395588787219051,0.195129424332434,0.0,0.035152596351489936,0.3064969270659101
36,0.14813062539373711,0.08977557649618834,1.222334649248277,0.04466519197406531,0.25432821963972846,0.0,0.08028227523714794,0.07936971761953421,0.19881144186473362,0.0,0.03195653855183822,0.31058661511295227
37,0.15002628392277667,0.09022577900498116,1.2372456915047179,0.04687393781833351,0.2542290693766118,0.0,0.07818320212896257,0.07478354736687767,0.20249345939703356,0.0,0.02876048075218636,0.31467630315999456
38,0.1519219424518162,0.0906856248304602,1.251875532399452,0.04908268366260175,0.25412991911349514,0.0,0.07608412902077724,0.07019737711422132,0.20617547692933325,0.0,0.025564422952534544,0.31876599120703675
39,0.15381760098085576,0.09115496803097907,1.266225811800212,0.05129142950687002,0.25403076885037845,0.0,0.07398505591259182,0.06561120686156477,0.20985749446163307,0.0,0.02236836515288263,0.3228556792540791
40,0.15571325950989523,0.09163366267136333,1.28029840239434,0.05350017535113819,0.25393161858726176,0.0,0.07188598280440658,0.06102503660890853,0.21353951199393278,0.0,0.01917230735323095,0.3269453673011212
41,0.1576089180389348,0.09212156297204334,1.2940953953300431,0.05570892119540639,0.25383246832414513,0.0,0.06978690969622121,0.056438866356252095,0.21722152952623255,0.0,0.015976249553579097,0.3310350553481636
42,0.1595045765679743,0.09261852345107668,1.30761908600001,0.05791766703967462,0.25373331806102845,0.0,0.0676878365880359,0.051852696103595664,0.22090354705853235,0.0,0.012780191753927294,0.3351247433952057
43,0.16140023509701384,0.0931243990590312,1.3208719600202123,0.060126412883942874,0.25363416779791176,0.0,0.0655887634798505,0.04726652585093919,0.224585564590832,0.0,0.009584133954275438,0.33921443144224805
44,0.1632958936260533,0.09363904530673244,1.3338566794514968,0.06233515872821098,0.25353501753479507,0.0,0.06348969037166526,0.04268035559828285,0.22826758212313192,0.0,0.006388076154623723,0.3433041194892901
45,0.16519155215509287,0.0941623183859098,1.3465760693065039,0.0645439045724793,0.25343586727167844,0.0,0.06139061726347989,0.0380941853456264,0.23194959965543163,0.0,0.0031920183549718575,0.3473938075363325
46,0.1670872106841324,0.09469407528280296,1.3590331043794126,0.06675265041674744,0.2533367170085617,0.0,0.059291544155294605,0.03350801509297007,0.23563161718773162,0.0,-4.039444679931075e-06,0.3514834955833746
47,0.1689828692131719,0.09523745046544106,1.371183720151682,0.06994053776150676,0.25316779370004433,0.0,0.0556134631818334,0.026003505110560952,0.2380905359474258,0.0,0.0,0.3571841642986287
48,0.17087852774221146,0.09579548727242006,1.3829847723332915,0.07312718914759891,0.2529989584652121,0.0,0.05193737537121509,0.01850267891367322,0.2405509986101496,0.0,0.0,0.3628827994921512
49,0.17277418627125093,0.0963679310064749,1.3944406327039975,0.07631384053369095,0.2528301232303795,0.0,0.04826128756059681,0.011001852716785667,0.24301146127287346,0.0,0.0,0.3685814346856736
50,0.17466984480029046,0.09695452648165682,1.4055560081546676,0.07950049191978303,0.2526612879955472,0.0,0.044585199749978516,0.003501026519897963,0.24547192393559725,0.0,0.0,0.37428006987919604
51,0.17656550332933,0.0975578399411489,1.4162949469409492,0.08351596181733416,0.2503340756756364,0.0,0.0389510747692336,0.0,0.2451305591793012,0.0,0.0,0.3820683285584946
52,0.17846116185836952,0.09819233001307522,1.426448830102224,0.08825689694393006,0.24611763488804245,0.0,0.03160307894165732,0.0,0.24233675357838028,0.0,0.0,0.39168563564798986
53,0.18035682038740902,0.09885952964529161,1.43599704864632,0.09299783207052573,0.2419011941004485,0.0,0.024255083114081172,0.0,0.23954294797745965,0.0,0.0,0.4013029427374849
54,0.18225247891644855,0.09955878122424805,1.4449519124406915,0.09773876719712152,0.23768475331285452,0.0,0.01690708728650491,0.0,0.23674914237653893,0.0,0.0,0.4109202498269801
55,0.18414813744548808,0.10028941432127748,1.4533269622291338,0.10247970232371731,0.2334683125252606,0.0,0.0095590914589288,0.0,0.23395533677561817,0.0,0.0,0.42053755691647515
56,0.18604379597452764,0.10105074823983151,1.461136814523076,0.10722063745031328,0.22925187173766642,0.0,0.002211095631352299,0.0,0.23116153117469732,0.0,0.0,0.43015486400597064
57,0.1879394545035671,0.10185564848121686,1.4682016083274716,0.11507916093777774,0.21988384835434835,0.0,0.0,0.0,0.22123835395059782,0.0,0.0,0.4437986367572761
58,0.18983511303260667,0.10274215725560162,1.4739838980570272,0.1242795999271516,0.20829840953821072,0.0,0.0,0.0,0.2082464539855177,0.0,0.0,0.45917553654912
59,0.1917307715616462,0.1037106479358834,1.4784975991108988,0.13348003891652527,0.19671297072207325,0.0,0.0,0.0,0.19525455402043773,0.0,0.0,0.4745524363409637
60,0.1936264300906857,0.10475884678998316,1.4817994590536268,0.14268047790589877,0.1851275319059363,0.0,0.0,0.0,0.18226265405535796,0.0,0.0,0.489929336132807
61,0.19552208861972525,0.10588438663936255,1.4839511850664702,0.15188091689527258,0.17354209308979893,0.0,0.0,0.0,0.16927075409027773,0.0,0.0,0.5053062359246508
62,0.19741774714876476,0.1070848287805574,1.4850181988751565,0.16108135588464634,0.1619566542736615,0.0,0.0,0.0,0.15627885412519768,0.0,0.0,0.5206831357164945
63,0.19931340567780423,0.10835145315836996,1.4851538525874088,0.16680419956518563,0.15499038929572234,0.003445547007222213,0.0,0.0,0.14194145421246804,0.0,0.0,0.5328184099194018
64,0.20120906420684379,0.10966324703746788,1.4846745926190683,0.17093482591368406,0.15013901348450315,0.008468638028644745,0.0,0.0,0.12698801702493837,0.0,0.0,0.5434695055482296
65,0.20310472273588331,0.11101733448412139,1.4836412341825285,0.17506545226218223,0.1452876376732842,0.013491729050067054,0.0,0.0,0.11203457983740929,0.0,0.0,0.5541206011770572
