kind,label,expected_return,volatility,sharpe,weight_133690,weight_402970,weight_069500,weight_168580,weight_200250,weight_101280,weight_TLT,weight_385560,weight_GLD
provided,Provided Portfolio,0.10005876261093788,0.1010924978389835,0.609975382376515,0.1,0.1,0.08,0.085,0.085,0.05,0.15,0.15,0.2
optimized,Optimized Portfolio,0.19872219880180247,0.1079512349667883,1.4851832984117417,0.16551596401958674,0.15650340796112241,0.00187897480808665,0.0,0.0,0.14660504459528179,0.0,0.0,0.5294966086159225
benchmark,Benchmark,0.1658140098642153,0.14302207314720236,0.8909057145806087,,,,,,,,,
