year,optimized,provided,benchmark
2017,0.0011581557296442835,0.035057027103043925,0.036759991552474336
2018,0.022704852302345424,-0.024022627606582803,-0.003921176092726464
2019,0.2870294151454551,0.30383285601890186,0.3593182585092254
2020,0.19154456272827147,0.18169100816583006,0.11175584342641431
2021,0.2119470343564267,0.2654011552343849,0.4098878041723206
2022,0.011789860062064061,-0.019189311833963663,-0.13336266295374077
2023,0.2283231524031042,0.2410478514771104,0.27935881883075075
2024,0.4871764695950975,0.42351663161924846,0.43411649081727344
2025,0.39516923354623223,0.32383673576815686,0.15354082673803182
2026,0.09850372480720004,0.19055944186100815,0.0888832490115481
