kind,label,expected_return,volatility,sharpe,weight_QQQ,weight_SPMO,weight_277540,weight_GLD,weight_XLE,weight_144600
provided,Provided Portfolio,0.19799989483392916,0.13928928492676257,1.14585315971463,0.3,0.2,0.15,0.15,0.15,0.05
optimized,Optimized Portfolio,0.19538106920118484,0.11686347025276562,1.3433303090814452,0.17035924064696514,0.28804139051077277,0.0,0.48390339322815584,0.057695975614106165,0.0
benchmark,Benchmark,0.17690017493693608,0.15064735399903614,0.9194011290209275,,,,,,
