year,portfolio,Jan_pct,Feb_pct,Mar_pct,Apr_pct,May_pct,Jun_pct,Jul_pct,Aug_pct,Sep_pct,Oct_pct,Nov_pct,Dec_pct,ytd_pct
2004,Portfolio 1,,,,,,,,,,,,1.0493839412088812,1.0493839412088812
2005,Portfolio 1,-3.5615186784524204,1.276763690169731,-1.602358400693844,-1.2434405620449993,2.6327617972456916,0.38521766129775764,2.7848288273069377,-0.12960302619070774,2.716073640616259,-1.4747341196998098,4.955958336455324,1.0615851219046624,7.748596459087387
2006,Portfolio 1,4.808413512848102,-0.814787684054673,2.07277804884685,3.868298844291195,-3.482725175221785,-1.3184781328827497,-0.04452006281751692,1.849030103419852,0.9645145368991926,2.81213158663852,3.8231003060404762,-0.839846860414729,14.204898219816432
2007,Portfolio 1,1.8125825525227655,-0.12321340287251956,0.15734203223406243,3.6803360039465898,1.1315988814480948,-0.9229425468604023,-0.048210034958380166,1.7899434068631326,5.898344234247628,4.7125540733871825,-3.2812707493017546,1.6401407202206595,17.344944983695143
2008,Portfolio 1,-1.7927178117781624,-0.53156538818385,-1.3725742159970287,2.335247283199172,2.332004252490941,-3.9221308974278384,-0.4381644892964165,-1.7357052175535066,-6.278499933009122,-14.525265582521705,-0.9794641062404177,3.8124916843024477,-21.90427258520088
2009,Portfolio 1,-1.877192194317966,-4.442768495452866,5.164533472674298,5.623858166532071,5.578325877844731,-0.754994025686707,5.566929217740126,1.6416766103722558,4.62109144104085,-0.38969301723503225,7.790175027558982,-0.46743730344182344,30.92298041973438
2010,Portfolio 1,-3.1716563387888703,3.3326505768830894,3.902377353010543,3.0671546833779413,-3.3926111950451414,-2.3335235853881695,2.7913463852260314,-0.8409574641724515,8.070858956102347,4.151390678913948,0.4918410816227426,3.8206634815348814,21.009332678666116
2011,Portfolio 1,-0.36873000648956833,3.7689896304874617,0.3331006983190476,4.598279447257361,-0.9889766387738728,-1.8939466943398364,2.741741010045688,0.9776536695670884,-6.524875868480423,8.027707781536405,-0.37131474188242913,-2.8707874143403447,6.8437341503722715
2012,Portfolio 1,7.421608722864256,2.225695697663026,1.9254673455085531,-0.34462169963181405,-5.528162608734711,2.968783559339534,1.0455593575057431,3.7772928940131894,2.3933952221535635,-3.052434618075297,0.5200328736577621,-0.6941927311133088,12.745395336319998
2013,Portfolio 1,2.0560470676059075,-0.9268456353924293,2.359570629478591,-0.7786036389846306,-0.38860479489043936,-4.691199185291488,5.638332322505572,0.40060350392242194,1.1485045604421822,2.8510682357435924,0.21348513819839576,0.3084969078463461,8.13357797191765
2014,Portfolio 1,-0.3018518399923785,4.828043674615653,-1.5699514880861298,0.3366065676990049,1.3091043039883643,3.430532545831999,-1.160088780743279,2.9890303865572676,-2.5987309997311137,0.7363125669172256,2.1704721619639717,-0.3419889685938426,9.991851728880153
2015,Portfolio 1,1.523640955441473,1.8335700476997785,-1.7389163107552605,0.7582654285931067,1.185139777323233,-1.9725570110498758,0.21057309810567104,-2.7557845053566985,-1.8100776080024181,6.584081198279472,-1.7760953881357189,-1.1776135950405453,0.5064452765246585
2016,Portfolio 1,-1.6100541164963744,2.93331523609416,3.814293493981334,0.679219627576475,-0.030048136967384332,2.4204799813097635,3.8594390125245197,-0.7270970618313366,0.8963104451659909,-1.990235796418971,-1.6937412776756544,0.3614720786430636,9.025849785070683
2017,Portfolio 1,3.726571297118468,3.5190494794090603,0.5252931361331414,1.7447999375306813,1.6379983184782176,-1.2017525976621999,2.5664606115714457,2.1149850036218343,-0.6392086347347703,1.8453978114235758,1.5874718092066062,1.1949708847389329,20.15824930797323
2018,Portfolio 1,5.073347793005556,-2.1947397214084683,-1.7407679974245915,-0.10706181146846741,2.1709870011171684,-0.5486913360229717,1.2249559846271463,2.1517772686049206,-0.22485873236608112,-4.046273030715056,0.7115773684041071,-3.4766216784593427,-1.3650879703386631
2019,Portfolio 1,6.036438616641526,1.6345009125525611,1.5068339084610805,2.624327788975723,-3.548594340254273,6.887204615759562,1.1600984618201204,1.69669156877018,-0.2779488605491208,2.7650250931259412,1.2754783114664028,3.0415250635051274,27.33428787085641
2020,Portfolio 1,2.5958955299121675,-4.08688651335695,-5.626330547468987,10.507465645717094,4.218820533446608,3.243598531258751,7.293286962560794,5.183272592936483,-4.075545286218682,-1.9553833313862432,5.042290202261725,4.662476251022165,28.850833586769255
2021,Portfolio 1,-1.30365095757783,-1.3192853261919932,1.295450705196639,4.529392336774609,2.1826205204309295,0.5094136544187012,2.5486095688676476,2.09598410881344,-4.229874913942009,4.8637190357411715,0.2602118371613171,2.6704547395506015,14.633978757291398
2022,Portfolio 1,-4.9212755214078285,-0.4221965652642277,2.503756370580829,-7.755714430201661,-1.3248747472835598,-5.702318955838996,6.047842733429833,-4.032090310315815,-7.27399777737355,2.9574833838905428,6.239786715242771,-3.7025570151556173,-17.201376996043972
2023,Portfolio 1,7.165386675580651,-2.799571444734632,6.707092176494421,0.9718025949373942,1.9571966858724255,3.043212777733224,2.7614626939382148,-1.3888794077068922,-4.689057755156583,0.7480472136897676,7.200819281828004,3.807616843731036,27.67806252191103
2024,Portfolio 1,0.6039634009313799,3.0792592000275625,4.037365479238253,-1.9378470597744926,4.028619308689228,3.0807383271783624,1.7597246415983754,1.794372581166237,3.0815279521411476,0.423972427709568,2.559098775676562,-1.2340863770285215,23.227240352763623
2025,Portfolio 1,3.552050328704766,-0.36542536879338944,-1.0792700725287152,1.8918921385095675,4.49808881479291,3.7390674642352946,1.174626045394398,2.562831763419619,6.2741144474305415,3.287965259607064,1.2993442557596344,0.39883232352301967,30.593188033562747
2026,Portfolio 1,4.470420007768317,1.9003947896787585,-6.4802295623760955,7.381323963367439,4.28431018287674,-3.8338431658092342,-1.8432479325535365,5.048042144784719,,,,,10.547969188635498
2004,benchmark,,,,,,,,,,,,3.012089175593302,3.012089175593302
2005,benchmark,-2.2420964237194863,2.0904275281648177,-1.8292973833772042,-1.8735238676464983,3.2224631041504193,0.1515265772431995,3.8261327886943475,-0.9374513033059695,0.8025527366698704,-2.3650951897049133,4.395254955972794,-0.19134707575372278,4.828304691178165
2006,benchmark,2.401403284461634,0.572520896677231,1.6503816624567902,1.2631909140813358,-3.0120914982063596,0.26081583777290973,0.44786285010682825,2.1822501439410225,2.7001586329280958,3.151639936277051,1.9885331163844056,1.3370990560661822,15.845167544879569
2007,benchmark,1.5040284826568717,-1.9617161083014145,1.158863810318822,4.429663069643275,3.391949636279268,-1.4620848913973084,-3.130994275702703,1.2832923489964676,3.871413207485075,1.3566589006992258,-3.8732819988207545,-1.126038600477186,5.146282122041135
2008,benchmark,-6.046144101452732,-2.58423535418546,-0.8941992192455728,4.766206849429477,1.5116424825146524,-8.357589465942839,-0.898519659711583,1.545330468624706,-9.417383706902449,-16.518655272055938,-6.960639085753417,0.9796111752642167,-36.7950176197518
2009,benchmark,-8.211416895798473,-10.744893850648463,8.331043133499861,9.93465858483702,5.8453664951631845,-0.06554612718912001,7.460571281220529,3.6940076183616055,3.5456706843791874,-1.9225112372313946,6.160711715940859,1.9100414250067699,26.351754055117272
2010,benchmark,-3.6342570720640954,3.119501333673491,6.087956650522064,1.5470157188520073,-7.945453984565265,-5.174100445117236,6.830090356750329,-4.498058579397468,8.955465576137156,3.82021479661967,0.0,6.685209307737816,15.05616462358006
2011,benchmark,2.3300184870973517,3.4737548753367653,0.012002707461422624,2.896160204416054,-1.1214862046491914,-1.6869641586439665,-2.0004421407228357,-5.49756647613594,-6.942111387050343,10.914732189255783,-0.4063580046699822,1.044823015692553,1.8949852821592783
2012,benchmark,4.637464901034316,4.34054708882341,3.216387764562345,-0.6675888644136041,-6.005557371850056,4.058082718187794,1.182936030375159,2.5052801513914202,2.5351166231373012,-1.8198110580298743,0.5659314987424002,0.8934251061547993,15.990308244916719
2013,benchmark,5.1190320549430846,1.2759152128006823,3.797100104796103,1.9212291412385785,2.360969127917012,-1.3344556005377872,5.167755875512303,-2.99923665637446,3.1645856626996816,4.630701084170075,2.9637437307181935,2.5926780314264875,32.307825568155835
2014,benchmark,-3.5248303236403933,4.551606336133007,0.8295495260872476,0.695124243920664,2.320641997751194,2.064471287909564,-1.3437364873336688,3.9463449785424043,-1.379634356868431,2.3550800812078387,2.7472174217885392,-0.2536819199143947,13.463771716106265
2015,benchmark,-2.9629044446217945,5.6204602320378605,-1.5705753082113194,0.983395692954403,1.2855951988260061,-2.031228877749114,2.25894754455247,-6.095033238680325,-2.5515733804416962,8.506007195789401,0.3655068756920343,-1.7282689557982067,1.2343016061667322
2016,benchmark,-4.9786611306582245,-0.0825924460799321,6.726600050606302,0.39410595108573254,1.7012018154995978,0.34754070394904524,3.6471468518312733,0.1197547877370031,0.0058095859981843745,-1.7337269559265955,3.6838621770857616,2.027160307115361,11.997884934168713
2017,benchmark,1.7894574467309354,3.929177599955147,0.12498420838014113,0.9926385791258818,1.4112776237372504,0.6374868857147442,2.055421082618425,0.29178015490842757,2.014918279325806,2.3564271875931686,3.056581334160513,1.2128045549948396,21.70542039610668
2018,benchmark,5.6358924294747315,-3.636055018199724,-2.7410368864167367,0.516828299681471,2.430914132173778,0.5750894380172511,3.7046300538047916,3.1919831545436317,0.5945390034208353,-6.91037910942457,1.8549068948896963,-8.804813566297165,-4.568970778274906
2019,benchmark,8.006540218885894,3.2415567135934076,1.810062540472579,4.085222802133859,-6.377121279908627,6.958672828035906,1.5119157250286674,-1.6743233375008826,1.945761163552584,2.2104915532721536,3.6198601666974417,2.905516237690664,31.22381221706716
2020,benchmark,-0.04037019500021666,-7.916586322057406,-12.487118442299716,12.698356433069847,4.764525447247525,1.7734061913251775,5.889227635177519,6.979688798590278,-3.744356063272425,-2.493370221777136,10.877693481526807,3.704827701385782,18.331615614995876
2021,benchmark,-1.0190277766667477,2.7805614959964142,4.539916974055758,5.291040627308674,0.6566133999908574,2.242729381075259,2.44126587863267,2.975986239556816,-4.660554935261796,7.016338869675476,-0.8034634064441604,4.624771463498112,28.728780803321573
2022,benchmark,-5.274124855640383,-2.9516909389674217,3.759030660232643,-8.77689547474908,0.22571342110004888,-8.246049162068037,9.208750358425387,-4.080184768391703,-9.244607654364579,8.1275547928648,5.559159480862075,-5.762832126779283,-18.175374952608536
