date,Portfolio 1_annualized_return_pct,benchmark_annualized_return_pct
2007-11-30,12.80881840842827,9.981310085270723
2007-12-31,13.028226394109478,8.48844102782611
2008-01-31,13.715069928739831,7.062581624266384
2008-02-29,13.034194949474,5.4028737500373625
2008-03-31,13.12211466590545,5.736478837250036
2008-04-30,14.472353669340077,8.069510120119805
2008-05-31,14.360426742532528,7.469128832378535
2008-06-30,12.700791574159487,4.335004388554609
2008-07-31,11.510284954593942,2.727769828176152
2008-08-31,10.909287195059791,3.578912400042933
2008-09-30,7.572564243540403,-0.0470100808522389
2008-10-31,2.596269418484387,-5.131092470622722
2008-11-30,0.6246294263776653,-8.703831284076212
2008-12-31,1.5294726433807027,-8.348188643107646
2009-01-31,-0.6769447230464354,-11.63058666860055
2009-02-28,-1.9030252391626257,-15.078064587738528
2009-03-31,-0.9224172088891369,-13.25698353757414
2009-04-30,-0.36733694804540473,-10.84845749826141
2009-05-31,2.6577272950389252,-8.213189096419992
2009-06-30,2.8527528073872155,-8.312890014392693
2009-07-31,4.742518753869263,-6.227009739148426
2009-08-31,4.6713890213288645,-5.766823489607631
2009-09-30,5.920043167631928,-5.508928301476878
2009-10-31,4.808889825712215,-7.084427278466354
2009-11-30,6.12715336953169,-5.8343156811461405
2009-12-31,6.2598457537602625,-5.657183609317462
2010-01-31,4.496769422761426,-7.276752163472322
2010-02-28,5.68837009956642,-5.701742015081967
2010-03-31,6.989567437538757,-4.194365716613058
2010-04-30,6.778232726462696,-5.0841343039600755
2010-05-31,5.161608133588347,-8.688603455451071
2010-06-30,4.660151410295943,-9.84990560871859
2010-07-31,5.642017093896046,-6.86009935497559
2010-08-31,4.723906789540955,-8.667102923914383
2010-09-30,5.43520496476757,-7.200658646016656
2010-10-31,5.246522126062536,-6.454814730406266
2010-11-30,6.5976982538762385,-5.214901028832708
2010-12-31,7.354604073579085,-2.7818182645621747
2011-01-31,7.870990327434169,0.025402804163121573
2011-02-28,9.40372289116973,2.057274035487011
2011-03-31,10.030802245965775,2.3673939102642594
2011-04-30,10.83596630396455,1.754657420479333
