date,asset_QQQ,asset_SPMO,asset_GDX,asset_GLD,asset_SLV,asset_AIA,asset_XLE,asset_PTF,asset_QLD,optimized,provided,benchmark
2016-08-31,0.010500896934613646,0.0,-0.16672112242672465,-0.03256316550912575,-0.08423777963726464,0.02352706415383432,0.016770757300685224,0.008468078309633364,0.01912968136170967,-0.006448808291022954,-0.014191261634163965,0.0011977129845057721
2016-09-30,0.02213543705521448,0.004960045088738596,0.03687721024383084,0.006892135107908315,0.02708811897205954,0.03748186101366113,0.036881963991286515,0.0264264556988143,0.0412703811790629,0.01117355161637986,0.02924388228003566,5.7931044257664155e-05
2016-10-31,-0.014572162720422832,-0.018621387456482563,-0.0722663384173462,-0.02944919584699579,-0.06758249439690167,-0.021357177696527896,-0.028183102262036686,-0.05125120242939085,-0.030621548475186278,-0.021315389385105177,-0.034379771655400015,-0.017337188587174146
2016-11-30,0.0043595280533428316,-0.006249623244559466,-0.15048951552823797,-0.08356570639157301,-0.0771950217411902,-0.01346132058058469,0.08466959640627758,0.022825083678237545,0.005721828180544231,-0.02273975548278725,-0.00898557788099809,0.0368385379163616
2016-12-31,0.011322249251902283,0.033285269288845454,0.007224274515565288,-0.019149882681417818,-0.03512134074674045,-0.026923243740289537,0.01730743671943591,-0.007622158986194227,0.02141712383454686,0.011475502004515544,0.0027403955878547055,0.02027168558579584
2017-01-31,0.05140103209741986,0.009131419296825927,0.14388145042340916,0.05419215772584596,0.10059560149742652,0.07720582871618786,-0.03212989307124203,0.04584170754708228,0.10276357151476856,0.031088203844631443,0.05726297179417709,0.017894733003852137
2017-02-28,0.04375028558820726,0.039842116608972855,-0.04513172402593335,0.031847686784806095,0.04449799854546033,0.020076219394016492,-0.02085040344621214,0.04119759397593725,0.08760684056886614,0.03564803883048603,0.025435212077142427,0.03929145838098291
2017-03-31,0.02026888675943339,-0.018786779300084988,-0.0017506526857979932,-0.00427746474772539,-0.006908510848333105,0.0334579570867104,-0.014859821475596169,0.027145250660275844,0.03862639610227969,-0.004732571071631367,0.01067606808638776,0.001249992132287936
2017-04-30,0.027270240219017694,0.026117890036670754,-0.025427234339353344,0.01726748147982482,-0.055072507996489994,0.023614592889334096,-0.029470510045524145,0.012541950069160812,0.053235170530427256,0.021226187095474306,0.005715187300416581,0.009926011606028462
2017-05-31,0.03897318402911587,0.018549485203663174,0.020692777566084786,-0.0012419798017191397,0.005521482012297296,0.043348669811863694,-0.03537751208417794,0.052422013316345994,0.07621501921454432,0.01514994869097449,0.026330388196269598,0.014113300176858079
2017-06-30,-0.02317975121838478,0.015336240595911432,-0.02688418372180612,-0.02155534773928114,-0.04148867460794037,0.022837884082919313,-0.0011167447642644879,-0.03488855522136458,-0.051432680321624735,-0.005868351159020538,-0.01531356467356117,0.0063748679255208884
2017-07-31,0.040613288585710894,0.023263521580763946,0.03532603301244008,0.02313170169958645,0.012094180771606844,0.052999717742328034,0.02618626964775239,0.06424221853561796,0.08203242411179179,0.027587015019614806,0.041696393626876306,0.02055406262663184
2017-08-31,0.020736629125366557,0.010642648856238113,0.08136487875881881,0.04198757511241591,0.04716981245244378,0.01378737482671033,-0.05478851640052751,-0.003683190574419015,0.0357430224223616,0.01954415121109355,0.015120871780545067,0.0029177304040157725
2017-09-30,-0.002952992464964943,0.012117276538532007,-0.07119737887970168,-0.03369891808976022,-0.0546546467424146,0.005571132016036318,0.10182293252417463,0.039464354911376454,-0.006190262525886836,-0.0012396719699809726,0.007472445518229187,0.02014939703687335
2017-10-31,0.04606383804396019,0.07779598721544967,-0.02090599622792344,-0.007484813689786707,0.0031766322402755343,0.05393525901132934,-0.008323424207269947,0.06147452468771464,0.09124899929153973,0.04057367946824549,0.03733355755010656,0.02356392091394377
2017-11-30,0.019717426611472577,0.02613484425447732,-0.0004447267691836121,0.003563440057186007,-0.017732725373504787,0.014687335469151686,0.01752307550203369,-0.0018621288646234468,0.03710036506107839,0.017408538564431784,0.01309460979879671,0.030566227187899697
2017-12-31,0.006030926375606649,0.010117951040429007,0.04261261764089319,0.021057003170010358,0.030947745657830428,0.018219929852584693,0.05269424007617296,-0.016790854419743595,0.008943318503257913,0.014331325488924154,0.01942638860670167,0.01212764762450469
2018-01-31,0.08757098214812298,0.07294409736515983,0.021944934141743477,0.03234937283169237,0.02251410978765689,0.08706852166672441,0.035842871561634126,0.07741914526638771,0.17837175246346626,0.06265208613935379,0.07327030931631978,0.05635932609455696
2018-02-28,-0.012927944975533512,-0.00501087520431831,-0.10105270958666857,-0.020759902030566435,-0.05443427049282734,-0.06630453876502207,-0.10835008873694951,0.013913413507547823,-0.0342553904087165,-0.016346319465885654,-0.04686776633890073,-0.0363604201437
2018-03-31,-0.040788440224731604,-0.039542675359649615,0.029508191609477485,0.006320007324218668,-0.0032341649813382167,0.01849928033021553,0.017230306452779676,-0.005384779645524973,-0.08687841553058795,-0.023516419737566272,-0.013351434418259367,-0.027410552043610648
2018-04-30,0.005058264494781417,0.014139640705181256,0.01364891354451303,-0.009539745360543916,-0.0019467704911255712,-0.014647934933626927,0.09494122075517741,-0.019035946007550875,0.002624642581432246,0.008480839630760652,0.013998693805433865,0.00516847967491163
2018-05-31,0.05672945511913685,0.03953154535622572,0.0026929884814046456,-0.011959209467577336,0.005201555468841601,-0.012635564486277007,0.029941824266953354,0.08670096246903602,0.11269643676173757,0.027843643865412757,0.03862417884465338,0.02430893702354031
