year,optimized,provided,benchmark
2016,-0.028093895546684178,-0.026388268005456905,0.04082207151461148
2017,0.23077259699047037,0.2711001825392034,0.21705396615625294
2018,-0.012748804783789591,-0.06605712699719979,-0.04568978184150585
2019,0.2627142053789948,0.33915895262745344,0.31223861690862864
2020,0.29271043586441015,0.35200358703206014,0.18331613708139827
2021,0.1680740172914057,0.1830711873866253,0.2872876948734526
2022,-0.10397950966168146,-0.14800601356090026,-0.1817536129512296
2023,0.24001833308265996,0.2722629698835044,0.26175777831245206
2024,0.33562638310870074,0.26127850651839335,0.24886476304115357
2025,0.35160097515595345,0.4410508693679591,0.17719055511914772
2026,0.12454172245218409,0.18507710152533607,0.09342964967795542
