asset,pv_expected_return,fdr_expected_return,expected_return_delta,pv_volatility,fdr_volatility,volatility_delta
QQQ,0.20489999999999997,0.2041940060947263,-0.0007059939052736774,0.18969999999999998,0.1900756969212146,0.0003756969212146133
SPMO,0.1957,0.1950664463700859,-0.000633553629914102,0.1795,0.17975451280687643,0.00025451280687643907
GDX,0.1534,0.15705724104486427,0.0036572410448642567,0.3394,0.33931571770511343,-8.42822948865507e-05
GLD,0.1175,0.11897671622341997,0.0014767162234199799,0.151,0.15103049966266463,3.0499662664634775e-05
SLV,0.14300000000000002,0.1451074665512826,0.0021074665512825774,0.2989,0.29870735564611284,-0.0001926443538871614
AIA,0.1495,0.14774481994620214,-0.0017551800537978501,0.2168,0.21736255781863056,0.0005625578186305713
XLE,0.1429,0.14178622222259782,-0.0011137777774021806,0.30010000000000003,0.29984449817144954,-0.0002555018285504973
PTF,0.24309999999999998,0.24225978819724212,-0.0008402118027578676,0.2889,0.28971487276784147,0.0008148727678414791
QLD,0.3586,0.3578188139725644,-0.0007811860274355986,0.3881,0.3884354232529678,0.0003354232529678147
