portfolio,date,portfolio_return,benchmark_return,active_return,cumulative_active_return,annual_active_return,rolling_active_return,rolling_tracking_error
optimized,2016-08-31,-0.006448808291022954,0.0011977129845057721,-0.0076465212755287264,-0.007646521275528673,-0.06891596706129566,,
optimized,2016-09-30,0.01117355161637986,5.7931044257664155e-05,0.011115620572122197,0.0033969738195256394,-0.06891596706129566,,
optimized,2016-10-31,-0.021315389385105177,-0.017337188587174146,-0.0039782007979310315,-0.0006586302782032316,-0.06891596706129566,,
optimized,2016-11-30,-0.02273975548278725,0.0368385379163616,-0.05957829339914886,-0.059262542688050424,-0.06891596706129566,,
optimized,2016-12-31,0.011475502004515544,0.02027168558579584,-0.008796183581280296,-0.06891596706129566,-0.06891596706129566,,
optimized,2017-01-31,0.031088203844631443,0.017894733003852137,0.013193470840779306,-0.057326385042479666,0.013718630834217427,,
optimized,2017-02-28,0.03564803883048603,0.03929145838098291,-0.003643419550496886,-0.06322996926474578,0.013718630834217427,,
optimized,2017-03-31,-0.004732571071631367,0.001249992132287936,-0.005982563203919303,-0.06951797693480355,0.013718630834217427,,
optimized,2017-04-30,0.021226187095474306,0.009926011606028462,0.011300175489445844,-0.05853569023414007,0.013718630834217427,,
optimized,2017-05-31,0.01514994869097449,0.014113300176858079,0.0010366485141164103,-0.05826830490016843,0.013718630834217427,,
optimized,2017-06-30,-0.005868351159020538,0.0063748679255208884,-0.012243219084541426,-0.07175027614988472,0.013718630834217427,,
optimized,2017-07-31,0.027587015019614806,0.02055406262663184,0.007032952392982964,-0.0657380704477799,0.013718630834217427,,
optimized,2017-08-31,0.01954415121109355,0.0029177304040157725,0.01662642080707778,-0.04774185224557703,0.013718630834217427,,
optimized,2017-09-30,-0.0012396719699809726,0.02014939703687335,-0.021389069006854323,-0.07255911031329698,0.013718630834217427,,
optimized,2017-10-31,0.04057367946824549,0.02356392091394377,0.017009758554301722,-0.055321373979996924,0.013718630834217427,,
optimized,2017-11-30,0.017408538564431784,0.030566227187899697,-0.013157688623467913,-0.07226362746805948,0.013718630834217427,,
optimized,2017-12-31,0.014331325488924154,0.01212764762450469,0.002203677864419464,-0.0705412299909256,0.013718630834217427,,
optimized,2018-01-31,0.06265208613935379,0.05635932609455696,0.006292760044796827,-0.06698951555489097,0.03294097705771626,,
optimized,2018-02-28,-0.016346319465885654,-0.0363604201437,0.020014100677814346,-0.03911303394577148,0.03294097705771626,,
optimized,2018-03-31,-0.023516419737566272,-0.027410552043610648,0.0038941323060443754,-0.03317185259985611,0.03294097705771626,,
optimized,2018-04-30,0.008480839630760652,0.00516847967491163,0.0033123599558490223,-0.029299051344583216,0.03294097705771626,,
optimized,2018-05-31,0.027843643865412757,0.02430893702354031,0.0035347068418724453,-0.025658953861036338,0.03294097705771626,,
optimized,2018-06-30,-0.007843306373027673,0.005750829750712283,-0.013594136123739956,-0.043011198669237416,0.03294097705771626,,
optimized,2018-07-31,0.015323974335842774,0.03704674288901644,-0.021722768553173663,-0.0718812427125104,0.03294097705771626,,
