date,asset_SPY,asset_QQQ,asset_TLT,asset_GLD,asset_CPER,asset_MCHI,asset_EWY,optimized,provided,benchmark
2011-12-31,0.010448467352552004,-0.006141712850859848,0.03444897287061055,-0.10662433944055594,-0.02777780721216938,-0.032903902864317436,-0.0607038639118086,-0.021667244546492003,-0.019108914440571632,0.010448467352552004
2012-01-31,0.04637463812422249,0.08418407150787988,-0.0032988505616431407,0.11395480912860867,0.11020411277303888,0.09818555040160626,0.09758909400755367,0.07902978703503584,0.0761936206521249,0.04637463812422249
2012-02-29,0.04340493769238485,0.06410070073451224,-0.025970587499920428,-0.029649780549572347,0.001102896266743869,0.057491978430294965,0.043758669753020785,0.03888848938809406,0.03258451539888733,0.04340493769238485
2012-03-31,0.03216395853520093,0.05053021645040223,-0.04235970672517586,-0.013208340481005276,-0.0036724341957705686,-0.06849319397630671,-0.005511993273102478,0.03211525642505606,0.008267289777024768,0.03216395853520093
2012-04-30,-0.006675820599125415,-0.011694877346922095,0.048342709237443326,-0.0014803247076433657,-0.006266129065709225,0.030560697490040534,-0.005038519893352134,-0.008128229509753969,0.0017682159821762022,-0.006675820599125415
2012-05-31,-0.06005572191914532,-0.07040181308432103,0.09025346006741786,-0.06338034010471139,-0.12054896551802208,-0.09476024722966625,-0.11174895795729778,-0.06590522238983434,-0.06315019338335334,-0.06005572191914532
2012-06-30,0.04058143420208449,0.03621462773165418,-0.016782432074059384,0.02354575543588089,-0.008013438804112427,0.027816829920717323,0.04161929922828378,0.03493180792100171,0.02579927653058417,0.04058143420208449
2012-07-31,0.011829356922056,0.009975016531944991,0.03817255391777108,0.008376847936764742,0.028911577038312597,-0.003911201320904278,0.014230988944520906,0.010199710096916182,0.0139364529956412,0.011829356922056
2012-08-31,0.02505258253752607,0.05185171564144886,-0.013188215152251659,0.04939609851235338,0.0,-0.024539553800238312,0.012592180636577188,0.04340528639897885,0.02299208221958393,0.02505258253752607
2012-09-30,0.025350888858723275,0.008884673309002888,-0.025327830771616933,0.046705627280061,0.06942141920920708,0.05660380912306762,0.0504528441918386,0.021462796475991842,0.027521166667701262,0.025350888858723275
2012-10-31,-0.01819797984359628,-0.05279292047444395,-0.004840523136899533,-0.029437416816341377,-0.04752703176671558,0.05619042559803611,-0.02621331294358964,-0.03778232090788595,-0.024660258017603444,-0.01819797984359628
2012-11-30,0.0056593838232152915,0.013086909510987121,0.011592478848278187,-0.004675410721908135,0.024340786643204826,0.020739356675888,0.035776140625167985,0.0072703421050850986,0.013835284825002283,0.0056593838232152915
2012-12-31,0.00893438718799655,-0.004669838475805377,-0.024877640005745327,-0.02426979045607558,-0.009504941430422353,0.07322050578936445,0.06844841032592486,-0.0046237279933555,0.008687580317162302,0.00893438718799655
2013-01-31,0.05119024618227508,0.026716078860404613,-0.031852935690314,-0.005061148639644464,0.04598159168356353,0.022268175588696648,-0.059668513610220186,0.02750777876118412,0.01541958982778455,0.05119024618227508
2013-02-28,0.012758958783122276,0.00343967178280713,0.012386169425748328,-0.05086846838387371,-0.05084097597338577,-0.04477612690109345,0.03558840227952342,-0.004846858299096469,-0.006267406663841526,0.012758958783122276
2013-03-31,0.03797138606131889,0.03024750087825101,-0.004193691630514862,0.009477104236877087,-0.0330245548668463,-0.04328580085247746,-0.03663475225420465,0.028311756292725226,0.005902357939022464,0.03797138606131889
2013-04-30,0.01921192042832298,0.02537350078733569,0.046849107112640676,-0.0756231330952718,-0.08371512743527543,0.019421939643277764,-0.016994712667306122,0.0029967698595388965,0.0004482416776718124,0.01921192042832298
2013-05-31,0.023609933699505703,0.035775264119109806,-0.06760999113290211,-0.06198785346133606,0.03136366063898266,-0.030959064493988775,-0.013351709951690105,0.012276150371853813,0.0012000701355406418,0.023609933699505703
2013-06-30,-0.01334432037791311,-0.023953023326236944,-0.03271253684522335,-0.11058839427335088,-0.07007492794904546,-0.06610816205878478,-0.07702978714249364,-0.03843477222625677,-0.04550615190034352,-0.01334432037791311
2013-07-31,0.05167682867159784,0.06314023363780574,-0.022579761270176135,0.0743010530498811,0.011374396529818753,0.04160554104960079,0.04943614158826937,0.06201184687878443,0.04469117292040068,0.05167682867159784
2013-08-31,-0.02999237671201127,-0.00395945140131182,-0.013403746437629982,0.052047484216675155,0.034208038285688636,0.027020666315039188,0.025075978875495286,-0.00028339123245008785,0.005308531362731029,-0.02999237671201127
2013-09-30,0.03164644903865921,0.04832165161438873,0.006517733434718842,-0.047838379698351585,0.01676487740596433,0.05353435350319424,0.07461132581274321,0.02381139592594641,0.031184776337875364,0.03164644903865921
2013-10-31,0.046306887695614085,0.049569241025121835,0.014304235595912873,-0.003432632525768975,0.0031194159161440638,0.01954451022620307,0.03902422234122649,0.03781764159072812,0.03138812500203112,0.046306887695614085
2013-11-30,0.02963743411464881,0.03551163780890332,-0.02703318486009476,-0.05511195422936577,-0.029320295011160624,0.06240672185517693,0.017683904173764642,0.015330709811215633,0.0134434973584328,0.02963743411464881
2013-12-31,0.025926568363893177,0.02927092563611211,-0.018696508516184873,-0.03794527189279151,0.04805488415235981,-0.028803018944843384,0.008920937648186245,0.014602843066963534,0.011119693608284895,0.025926568363893177
2014-01-31,-0.03524820485574853,-0.01921328044155135,0.06302816239436759,0.034188714238774454,-0.06288212043865693,-0.08938212297230153,-0.08705730644809762,-0.01310252078542929,-0.027024092426206514,-0.03524820485574853
2014-02-28,0.045515851959588405,0.05152404386631404,0.005240683678406466,0.0627030280482701,0.0027959634599625804,0.030972440291271663,0.03455294595925462,0.05201699588324761,0.038186889695528435,0.045515851959588405
2014-03-31,0.00829549693820919,-0.02733575017608547,0.007321637971716921,-0.031421423365686874,-0.045539011217017755,-0.006184969198281598,0.007039644747145024,-0.01760126658157737,-0.013420037771396233,0.00829549693820919
2014-04-30,0.006951344100657231,-0.003193961482277241,0.020951947345450916,0.0049348807324614,-0.00438170148862338,-0.025561255633672175,0.016907962253702502,0.001468404645892818,0.0017172636963802002,0.006951344100657231
