series,133690,402970,069500,168580,200250,101280,TLT,385560,132030,optimized,provided,benchmark
133690,1.0,0.34338955681722283,0.5197056945872635,0.12787406303260435,0.3845607251943168,0.5654607535638793,0.370164510850019,0.18913324534019874,-0.11857479959343427,0.6321276144605057,0.6017072273643507,0.8461218079402433
402970,0.34338955681722283,1.0,0.22324148774101452,-0.024541245134344355,0.31213395201139665,0.4708411480487684,0.3534604954219235,0.02697022287036301,-0.1923950485203593,0.38900853920399686,0.34702566067454554,0.5898380476575239
069500,0.5197056945872635,0.22324148774101452,1.0,0.17590199003707307,0.2612053056305531,0.630647303191199,0.2481870618467038,0.17161799885067516,0.26342917508680463,0.7556089043722822,0.7296459216987611,0.484740078489102
168580,0.12787406303260435,-0.024541245134344355,0.17590199003707307,1.0,-0.0856963733846185,0.11094319113580248,0.3342351306170582,0.0028445596138068105,0.08273629243768282,0.15433740604004917,0.34215907056169326,0.11791484600979714
200250,0.3845607251943168,0.31213395201139665,0.2612053056305531,-0.0856963733846185,1.0,0.4674343713616616,0.29202746206170654,0.05397455105281232,-0.16727981427189076,0.23536998823575905,0.34960725659310665,0.4716206377689772
101280,0.5654607535638793,0.4708411480487684,0.630647303191199,0.11094319113580248,0.4674343713616616,1.0,0.3824334003223748,0.27879660332405787,0.07144350110987657,0.6213900340746281,0.6919603131769534,0.6532101666073696
TLT,0.370164510850019,0.3534604954219235,0.2481870618467038,0.3342351306170582,0.29202746206170654,0.3824334003223748,1.0,0.4376629428536785,-0.02548372316021153,0.3271541946918727,0.6423973298467647,0.44504242746144
385560,0.18913324534019874,0.02697022287036301,0.17161799885067516,0.0028445596138068105,0.05397455105281232,0.27879660332405787,0.4376629428536785,1.0,0.23842833920187922,0.2952097017075339,0.589780037913062,0.2351262342632051
132030,-0.11857479959343427,-0.1923950485203593,0.26342917508680463,0.08273629243768282,-0.16727981427189076,0.07144350110987657,-0.02548372316021153,0.23842833920187922,1.0,0.60021462518722,0.4502427659672149,-0.15497306922973753
optimized,0.6321276144605057,0.38900853920399686,0.7556089043722822,0.15433740604004917,0.23536998823575905,0.6213900340746281,0.3271541946918727,0.2952097017075339,0.60021462518722,1.0,0.8711206102496069,0.5996494382931022
provided,0.6017072273643507,0.34702566067454554,0.7296459216987611,0.34215907056169326,0.34960725659310665,0.6919603131769534,0.6423973298467647,0.589780037913062,0.4502427659672149,0.8711206102496069,1.0,0.6225532271431856
benchmark,0.8461218079402433,0.5898380476575239,0.484740078489102,0.11791484600979714,0.4716206377689772,0.6532101666073696,0.44504242746144,0.2351262342632051,-0.15497306922973753,0.5996494382931022,0.6225532271431856,1.0
