roll_period_years,optimized_average_pct,optimized_high_pct,optimized_low_pct,provided_average_pct,provided_high_pct,provided_low_pct,benchmark_average_pct,benchmark_high_pct,benchmark_low_pct
1,18.751256552637436,47.726218867794536,-12.512197850990713,19.06422617290624,68.97317861497483,-15.906455009481713,15.746037057152728,56.23112067273417,-18.17536129512295
3,16.590523948620017,36.70431951083171,6.246163273248406,15.838404716286098,35.18326147235549,3.3241831725228765,14.151715051788175,25.968832040632805,5.043487215531295
5,15.98551829350289,21.691253082002305,9.967690287578556,15.801234798842406,21.59528214659123,9.059881747723342,14.289637319161871,18.80013277134116,9.150791456266338
7,15.978939590716552,22.661845670309223,11.425947888688825,15.483538293050875,23.540454815403965,11.371162624748997,13.8319845943249,17.27327732217303,11.25283202000884
