year,optimized,provided,benchmark
2017,0.0020850424333362927,0.04246174783802226,0.036759924026987134
2018,0.022717301788229616,-0.027990339153942667,-0.00392124718079101
2019,0.28851759858405557,0.29186729134691114,0.3593184440550621
2020,0.19231668376403221,0.15503437229186345,0.11175555023791306
2021,0.21309282497594273,0.26738799982893924,0.40988807970563834
2022,0.009340923868944584,0.021820014464583037,-0.13336253144735666
2023,0.2242872228945163,0.18780834293237292,0.27935862744081397
2024,0.482660352613411,0.4037651228406456,0.43411673758102554
2025,0.3879149643209825,0.30815096600122915,0.15354070455012625
2026,0.09965058553709016,0.2027922510647866,0.0888832490115481
