date,portfolio,market_type,benchmark_return,portfolio_return,active_return,benchmark_return_pct,portfolio_return_pct,active_return_pct
2022-06-30,TO-BE TIME Nasdaq Active,down,-0.04849238329838734,-0.05793244409000095,-0.009440060791613608,-4.849238329838734,-5.793244409000095,-0.9440060791613608
2022-07-31,TO-BE TIME Nasdaq Active,up,0.09839712235259324,0.05690011043330633,-0.041497011919286904,9.839712235259324,5.6900110433306335,-4.14970119192869
2022-08-31,TO-BE TIME Nasdaq Active,down,-0.005911827182006557,0.007818058226087115,0.013729885408093672,-0.5911827182006557,0.7818058226087116,1.3729885408093672
2022-09-30,TO-BE TIME Nasdaq Active,down,-0.033006614470211915,-0.04086172754700882,-0.007855113076796906,-3.3006614470211915,-4.086172754700882,-0.7855113076796906
2022-10-31,TO-BE TIME Nasdaq Active,up,0.0748340067999913,0.05507241809548204,-0.019761588704509267,7.48340067999913,5.507241809548204,-1.9761588704509268
2022-11-30,TO-BE TIME Nasdaq Active,down,-0.01589752281902579,-0.006900613457640097,0.008996909361385693,-1.589752281902579,-0.6900613457640097,0.8996909361385693
2022-12-31,TO-BE TIME Nasdaq Active,down,-0.10392309729946136,-0.050575086391430844,0.05334801090803052,-10.392309729946136,-5.057508639143085,5.334801090803052
2023-01-31,TO-BE TIME Nasdaq Active,up,0.03863156217143948,0.04051913235174448,0.0018875701803049982,3.863156217143948,4.051913235174448,0.18875701803049982
2023-02-28,TO-BE TIME Nasdaq Active,up,0.043607924411480425,0.008924594703439256,-0.034683329708041166,4.3607924411480425,0.8924594703439256,-3.4683329708041164
2023-03-31,TO-BE TIME Nasdaq Active,up,0.019889530620277318,0.04868308375461733,0.02879355313434001,1.9889530620277318,4.868308375461733,2.879355313434001
2023-04-30,TO-BE TIME Nasdaq Active,up,0.049584855926665616,0.024868141523097593,-0.024716714403568023,4.958485592666562,2.4868141523097593,-2.4716714403568023
2023-05-31,TO-BE TIME Nasdaq Active,down,-0.00862243968723464,0.005007201783238378,0.013629641470473018,-0.862243968723464,0.5007201783238378,1.3629641470473017
2023-06-30,TO-BE TIME Nasdaq Active,up,0.06587136771578428,0.0297326640476669,-0.036138703668117375,6.587136771578428,2.97326640476669,-3.6138703668117373
