date,TO-BE TIME Nasdaq Active_balance,TO-BE QQQ Proxy_balance,TO-BE QLD Proxy_balance,TO-BE PTF Proxy_balance,benchmark_balance
2022-06-01,10000.0,10000.0,10000.0,10000.0,10000.0
2022-06-30,9420.675559099991,9466.334667716395,9174.913693080985,9386.643842560658,9515.076167016126
2022-07-31,9956.713038769129,10040.891568751344,10093.612952158604,10134.413233366577,10451.332280816257
2022-08-31,10034.555201046667,10048.736913679757,9921.709386739127,10123.367939627638,10389.545810550344
2022-09-30,9624.525940366078,9644.623779617965,9192.72323377265,9652.318785743271,10046.622077460905
2022-10-31,10154.57185692473,10197.598113093902,9791.101158299407,10331.080381143556,10798.451062322556
2022-11-30,10084.499081712262,10329.265081757812,10033.372199894227,10540.860229009077,10626.782440149149
2022-12-31,9574.474669440358,9747.862893498723,9206.637144813918,9949.327296656484,9522.414294641321
2023-01-31,9962.424075769837,10104.421592643728,9824.307584239803,10224.684967474936,9890.280034486961
2023-02-28,10051.33467290987,10164.66664017109,9839.258216948034,10358.276313263597,10321.574618639243
2023-03-31,10540.664640636829,10642.943953491795,10572.037050769704,10714.403286330984,10526.865893066144
2023-04-30,10802.791380667697,10985.295105272558,10906.702094569608,10782.376331150414,11048.839021733158
2023-05-31,10856.88313693293,10765.222111479226,10925.703247026815,10755.966504359267,10953.5710736543
2023-06-30,11179.687195848135,11186.450873288528,11550.497434416411,11211.272281657806,11675.09778164796
2023-07-31,11427.460563351355,11351.22301903133,11833.176943832335,11424.661226715316,11645.897628366321
2023-08-31,11615.306689095512,11555.938375956184,11954.56273484103,11482.045949583004,11875.381797111133
2023-09-30,11408.964317952963,11425.30204959804,11607.0228963531,11173.361112370458,11510.285474518232
2023-10-31,11212.74408525398,11230.908892495267,11336.09717565343,10850.00759577134,11262.251961631491
2023-11-30,11766.37952877806,11570.259236450487,12034.98536498468,11322.209666287767,11746.585593599268
2023-12-31,12240.474058078067,12029.92527144121,12717.720312776735,11825.789031280343,12182.583092836032
2024-01-31,12546.496102300945,12246.765069804394,12971.59704595318,11916.308311445571,12849.07169084083
2024-02-29,13448.580152917568,12898.316683226041,13847.194691223038,12746.288756158594,13588.51718315868
2024-03-31,14488.313801414899,13707.563749711906,14735.488250067985,13629.211532532461,14205.696035848925
2024-04-30,14640.817411669692,13853.596739415792,14667.684099138074,13696.85754880043,13993.09307356824
2024-05-31,15353.37505809279,14419.926629834874,15538.31502271792,14291.634852670202,14596.448036293177
2024-06-30,15858.900289783498,15017.706119507895,16447.698422784248,14931.730582868959,15235.875316514877
2024-07-31,15554.334335459092,14847.96605490502,16133.799966687286,14703.719076755317,15208.788498942014
2024-08-31,15422.775758126278,14783.574749411162,16063.127108592065,14764.947989100201,15165.466883706009
2024-09-30,15849.34824374807,15081.530982739587,16469.142698584237,15014.397503500784,15280.134263983671
2024-10-31,16854.815212776673,15748.095194185964,17117.364923603152,15779.097557582983,15871.882037043797
2024-11-30,17715.009172168833,16224.259571519535,17881.61401321533,16900.609654183256,16998.083748079844
2024-12-31,18361.226259097493,16706.016596064666,18441.809130339298,17111.516474337506,17471.247475999917
2025-01-31,18860.831318962304,17061.557334486304,18856.576667637455,17347.422528785894,17625.88572126456
2025-02-28,18451.885232566543,17207.202065490907,18830.031485750496,17164.0974785149,17501.106901812356
2025-03-31,18049.60676365938,17058.43544072609,18209.738949395723,16884.398621183296,16777.861570734975
2025-04-30,17671.519345317563,16450.191431162417,17468.80070462751,16202.290246353301,16087.646820410177
2025-05-31,18529.413534592302,16955.900044929112,18462.525014103052,16678.212307924623,16458.082032639708
2025-06-30,19990.005425007424,17669.56560109056,19573.782934035655,17400.741674924193,17027.14868231243
2025-07-31,21208.8634219983,18554.076939622348,20667.231648560788,18293.477983748697,17974.894009774813
2025-08-31,21502.130623136243,18835.937299855465,20995.202446935327,18335.78744286152,18250.131591123154
2025-09-30,23448.858144505397,20306.76884880955,22960.612355264897,20040.2842230626,19156.050844000958
2025-10-31,24430.15145906252,21207.471358520517,24270.53803573942,21245.03189239773,19904.393780439976
2025-11-30,24531.79648314773,21700.3436164954,24658.310407286674,21565.003325524027,20466.70935020945
2025-12-31,24830.328997549117,22065.799499915633,25044.18745337159,21768.23098306978,20153.79512283456
2026-01-31,27873.678470350093,24035.88632568551,27261.167560537655,24345.429817774013,20320.679172058204
2026-02-28,28168.68651895115,24219.578205233385,27236.417434463354,25333.89667250363,20195.262699363942
2026-03-31,27023.722314528204,23662.392979210457,26144.660654920284,24642.14460715872,20149.808523906748
2026-04-30,31085.66404141372,25905.838753241547,29944.57293796241,27946.125805493764,21832.327110723927
2026-05-31,34905.21254810822,28195.86832770575,33586.04348419485,30865.93532210322,23313.046409233477
2026-06-30,35239.704055438386,28338.314332336853,33597.96887806707,31574.888281997482,23895.8495593931
2026-07-31,30914.696842269117,25701.574680802692,29828.82154982264,26774.98303435676,21928.22148013259
2026-08-31,31572.461526116662,26468.35637740064,31034.811108843085,27166.821637076246,21945.129913265187
