date,TO-BE TIME Nasdaq Active_drawdown_pct,TO-BE QQQ Proxy_drawdown_pct,TO-BE QLD Proxy_drawdown_pct,TO-BE PTF Proxy_drawdown_pct,benchmark_drawdown_pct
2022-06-30,0.0,0.0,0.0,0.0,0.0
2022-07-31,0.0,0.0,0.0,0.0,0.0
2022-08-31,0.0,0.0,-1.7030925024989707,-0.10898799451528607,-0.5911827182006557
2022-09-30,-4.086172754700879,-4.0215316365946,-8.925344400027669,-4.757004046727209,-3.872331225160741
2022-10-31,0.0,0.0,-2.9970615605436013,0.0,0.0
2022-11-30,-0.6900613457640148,0.0,-0.5968205096619328,0.0,-1.589752281902579
2022-12-31,-5.712670072729686,-5.62868881432702,-8.787495731694362,-5.611808898904281,-11.816850030774518
2023-01-31,-1.8922292723140277,-2.1767617282973273,-2.668077022521531,-2.9995204818674015,-8.410197190265023
2023-02-28,-1.0166571813114755,-1.5935155142587587,-2.519957288001351,-1.7321538449300178,-4.4161559924757015
2023-03-31,0.0,0.0,0.0,0.0,-2.5150382002842475
2023-04-30,0.0,0.0,0.0,0.0,0.0
2023-05-31,0.0,-2.0033416643282065,0.0,-0.2449351235761399,-0.862243968723464
2023-06-30,0.0,0.0,0.0,0.0,0.0
2023-07-31,0.0,0.0,0.0,0.0,-0.25010628457038386
2023-08-31,0.0,0.0,0.0,0.0,0.0
2023-09-30,-1.776469418033222,-1.1304692194443744,-2.9071731538539702,-2.688413184966898,-3.074396502196808
2023-10-31,-3.4657940131659126,-2.8126619655327145,-5.173468682255599,-5.504579554784117,-5.163032616170671
2023-11-30,0.0,0.0,0.0,-1.3920540293695938,-1.0845647383160073
2023-12-31,0.0,0.0,0.0,0.0,0.0
2024-01-31,0.0,0.0,0.0,0.0,0.0
2024-02-29,0.0,0.0,0.0,0.0,0.0
2024-03-31,0.0,0.0,0.0,0.0,0.0
2024-04-30,0.0,0.0,-0.460141868251962,0.0,-1.496603628179638
2024-05-31,0.0,0.0,0.0,0.0,0.0
2024-06-30,0.0,0.0,0.0,0.0,0.0
2024-07-31,-1.9204733541367314,-1.13026625539292,-1.9084643214404506,-1.5270266554048062,-0.17778314018822572
2024-08-31,-2.7500301010037753,-1.5590355027163438,-2.3381466774673565,-1.116967606957131,-0.46212266342551267
2024-09-30,-0.06023145275451114,0.0,0.0,0.0,0.0
2024-10-31,0.0,0.0,0.0,0.0,0.0
2024-11-30,0.0,0.0,0.0,0.0,0.0
2024-12-31,0.0,0.0,0.0,0.0,0.0
2025-01-31,0.0,0.0,0.0,0.0,0.0
2025-02-28,-2.1682293822574694,0.0,-0.14077413071755807,-1.0567855251509939,-0.7079293570005474
2025-03-31,-4.301107101717916,-0.864560224251476,-3.4303030165165893,-2.6691222101396628,-4.811242759315604
2025-04-30,-6.305724034809801,-4.399382487909964,-7.359638960298209,-6.601166718181828,-8.727158028708814
2025-05-31,-1.757174849640919,-1.460446733904397,-2.0897306042336528,-3.8576925174376497,-6.625503575210223
2025-06-30,0.0,0.0,0.0,0.0,-3.3969188750031964
2025-07-31,0.0,0.0,0.0,0.0,0.0
2025-08-31,0.0,0.0,0.0,0.0,0.0
2025-09-30,0.0,0.0,0.0,0.0,0.0
2025-10-31,0.0,0.0,0.0,0.0,0.0
2025-11-30,0.0,0.0,0.0,0.0,0.0
2025-12-31,0.0,0.0,0.0,0.0,-1.5288936878936399
2026-01-31,0.0,0.0,0.0,0.0,-0.7135010110931761
2026-02-28,0.0,0.0,-0.09078894372128721,0.0,-1.326283801664141
2026-03-31,-4.0646701920327155,-2.300557100133682,-4.095594596739094,-2.730539538734722,-1.548372143660981
2026-04-30,0.0,0.0,0.0,0.0,0.0
2026-05-31,0.0,0.0,0.0,0.0,0.0
2026-06-30,0.0,0.0,0.0,0.0,0.0
2026-07-31,-12.273108781972898,-9.30450421507738,-11.218378533307549,-15.20165393705415,-8.234183406494811
2026-08-31,-10.406564492007341,-6.59869155591376,-7.628906909599598,-13.960672182123002,-8.163424536463548
