asset,Sample Portfolio,Portfolio 2,Portfolio 3
SPY,0.7409211863590551,0.0,0.0
GLD,0.12961525826679998,0.05603489201490337,0.04400660540159225
TLT,0.12946355537414503,0.0,0.0
QQQ,0.0,0.2686802620933312,0.42525644661276574
SLV,0.0,0.13829626147033502,0.12294752351339404
GDX,0.0,0.16138493038575677,0.0
AIA,0.0,0.20407490654026164,0.0
XLF,0.0,0.07477112806394341,0.0
XLE,0.0,0.09675761943146856,0.09916528370680285
EWY,0.0,0.0,0.16602432824670701
EWJ,0.0,0.0,0.07151168447349954
INDY,0.0,0.0,0.07108812804523865
