point,expected_return,volatility,sharpe,weight_QQQ,weight_SPMO,weight_GDX,weight_GLD,weight_SLV,weight_AIA,weight_XLE,weight_PTF,weight_QLD
1,0.16217711445759206,0.12746064360134468,1.0872149280135135,0.05716023825381416,0.4326953486859163,0.0,0.3,0.0,0.10277759110435536,0.10736682195591424,0.0,0.0
2,0.1631824077921402,0.12749595090524138,1.094798750870777,0.0754753177199057,0.4315610609590632,0.0,0.3,0.0,0.08980899058204068,0.10315463073899034,0.0,0.0
3,0.16418770112668835,0.1276018141999551,1.1017688267847356,0.0937903971859978,0.4304267732322099,0.0,0.3,0.0,0.07684039005972586,0.09894243952206645,0.0,0.0
4,0.1651929944612365,0.12777805812005993,1.1081166558987465,0.11210547665208949,0.42929248550535687,0.0,0.3,0.0,0.06387178953741107,0.0947302483051426,0.0,0.0
5,0.16619828779578466,0.12802439199883903,1.1138368678765356,0.13042055611818099,0.4281581977785035,0.0,0.3,0.0,0.050903189015096634,0.0905180570882189,0.0,0.0
6,0.16720358113033282,0.1283404122493644,1.1189272234166756,0.14873563558427277,0.4270239100516506,0.0,0.3,0.0,0.037934588492781765,0.08630586587129493,0.0,0.0
7,0.16820887446488095,0.12872560563433613,1.123388573332205,0.1670507150503648,0.42588962232479727,0.0,0.3,0.0,0.024965987970466823,0.08209367465437103,0.0,0.0
8,0.16921416779942913,0.1291793533636157,1.1272247770861068,0.18536579451645635,0.42475533459794446,0.0,0.3,0.0,0.011997387448152144,0.07788148343744715,0.0,0.0
9,0.17021946113397732,0.12970125261679266,1.1304398236397157,0.20394817691283165,0.42319933598700527,0.0,0.3,0.0,0.0,0.07285248710016315,0.0,0.0
10,0.1712247544685255,0.1303544650261142,1.1324871337468303,0.22583255029959645,0.4164339461496976,0.0,0.3,0.0,0.0,0.057733503550706,0.0,0.0
11,0.1722300478030736,0.13118481355383577,1.1329821171875099,0.24771692368636064,0.40966855631238946,0.0,0.3,0.0,0.0,0.04261452000124985,0.0,0.0
12,0.17323534113762176,0.13218896018615076,1.1319806202189857,0.26960129707312463,0.40290316647508184,0.0,0.3,0.0,0.0,0.02749553645179357,0.0,0.0
13,0.17424063447216992,0.13333888355213325,1.1297577305218096,0.2742332691132264,0.40163260409570223,0.0,0.3,0.0,0.0,0.02050542266433437,0.0,0.003628704126737023
14,0.17524592780671808,0.13450807648078528,1.1274113181477319,0.2641424681950073,0.4050511916776921,0.0,0.3,0.0,0.0,0.020452285446620894,0.0,0.010354054680679773
15,0.1762512211412663,0.13567879541478295,1.1250926917105728,0.25405166727678674,0.4084697792596828,0.0,0.3,0.0,0.0,0.02039914822890763,0.0,0.01707940523462293
16,0.1772565144758144,0.13685100119058888,1.1228015369929292,0.2439608663585685,0.41188836684167157,0.0,0.3,0.0,0.0,0.02034601101119419,0.0,0.023804755788565796
17,0.17826180781036258,0.13802465592618185,1.1205375356492726,0.2338700654403492,0.41530695442366117,0.0,0.3,0.0,0.0,0.020292873793480888,0.0,0.030530106342508762
18,0.17926710114491073,0.1391997229710948,1.1183003659945172,0.22377926452212885,0.4187255420056517,0.0,0.3,0.0,0.0,0.02023973657576748,0.0,0.037255456896451954
19,0.18027239447945892,0.14037616685866755,1.1160897037258368,0.21368846360390917,0.42214412958764186,0.0,0.3,0.0,0.0,0.02018659935805414,0.0,0.043980807450394836
20,0.18127768781400705,0.1415539532604078,1.1139052225827804,0.20359766268568943,0.42556271716963195,0.0,0.3,0.0,0.0,0.020133462140340775,0.0,0.05070615800433786
21,0.1822829811485552,0.14273304894235692,1.1117465949504077,0.19350686176747112,0.4289813047516207,0.0,0.3,0.0,0.0,0.020080324922627426,0.0,0.057431508558280754
22,0.1832882744831034,0.14391342172336502,1.1096134924097718,0.18341606084925097,0.43239989233361104,0.0,0.3,0.0,0.0,0.020027187704914084,0.0,0.06415685911222399
23,0.18429356781765155,0.14509504043518254,1.107505586239781,0.1733252599310313,0.43581847991560113,0.0,0.3,0.0,0.0,0.019974050487200697,0.0,0.07088220966616691
24,0.1852988611521997,0.14627787488428218,1.1054225478741524,0.16323445901281253,0.43923706749759034,0.0,0.3,0.0,0.0,0.01992091326948732,0.0,0.07760756022010991
25,0.18630415448674784,0.14746189581532732,1.10336404931691,0.15314365809459346,0.44265565507958005,0.0,0.3,0.0,0.0,0.019867776051773867,0.0,0.08433291077405267
26,0.187309447821296,0.14864707487620973,1.1013297635195975,0.14305285717637325,0.44607424266157053,0.0,0.3,0.0,0.0,0.019814638834060545,0.0,0.09105826132799578
27,0.18831474115584415,0.14983338458458065,1.0993193647231736,0.1329620562581536,0.4494928302435605,0.0,0.3,0.0,0.0,0.019761501616347123,0.0,0.09778361188193878
