ticker,pv_expected_return,fdr_expected_return,expected_return_delta,pv_volatility,fdr_volatility,volatility_delta
QQQ,0.20489999999999997,0.20419397723816834,-0.0007060227618316262,0.18969999999999998,0.1900756218032345,0.0003756218032345271
SPMO,0.1957,0.19506641660782953,-0.0006335833921704837,0.1795,0.17975444265956877,0.0002544426595687821
GDX,0.1534,0.1570572495297541,0.003657249529754103,0.3394,0.339315721237806,-8.42787621939678e-05
GLD,0.1175,0.11897671622341997,0.0014767162234199799,0.151,0.15103049966266463,3.0499662664634775e-05
SLV,0.14300000000000002,0.1451074665512826,0.0021074665512825774,0.2989,0.29870735564611284,-0.0001926443538871614
AIA,0.1495,0.1477448134487412,-0.0017551865512587805,0.2168,0.21736252131622694,0.0005625213162269438
XLE,0.1429,0.1417862217476103,-0.0011137782523897022,0.30010000000000003,0.2998445821193466,-0.0002554178806534191
PTF,0.24309999999999998,0.24225978506416448,-0.0008402149358354982,0.2889,0.28971486156132475,0.0008148615613247645
QLD,0.3586,0.35781876113536576,-0.000781238864634215,0.3881,0.38843539368848434,0.00033539368848434226
