kind,label,sharpe,expected_return_pct,volatility_pct,weight_QQQ_pct,weight_SPMO_pct,weight_AIA_pct,weight_GLD_pct,weight_XLE_pct,weight_144600_pct,weight_SCHD_pct
provided,Provided Portfolio,1.1472279682806943,19.210168180526722,13.398109047970195,20.0,20.0,15.0,15.0,15.0,5.0,10.0
optimized,Optimized Portfolio,1.3432929919191652,19.287343483831503,11.499993536883137,15.805099253549823,27.048433477613038,0.0,47.616337679423424,4.27227101387731,0.0,5.257784583070156
benchmark,Benchmark,0.9194008151749314,17.690018405366,15.06474153398484,,,,,,,
