year,optimized_return_pct,provided_return_pct,benchmark_return_pct
2017,0.24746428150093092,4.246178943331058,3.6759856501500154
2018,2.2580553917277646,-2.7990313776773523,-0.3921114322941732
2019,28.91353273728503,29.186721075380163,35.93187754713687
2020,19.20759168271744,15.503445726730236,11.175491011489157
2021,21.302174355540203,26.73880297541409,40.988845151676266
2022,0.8626562860012843,2.1819813455261183,-13.336245912141143
2023,21.944822483179614,18.780848040560194,27.935860529087474
2024,47.74655879711085,40.37651356892509,43.41164908172732
2025,38.26340314586281,30.815097062599463,15.354082673803182
2026,10.014650396740388,20.27922884358546,8.88832490115481
