point,expected_return,volatility,sharpe,weight_SPY,weight_QQQ,weight_TLT,weight_GLD,weight_CPER,weight_MCHI,weight_EWY
1,0.0688327701580325,0.0905956417526158,0.5769163116486974,0.31568347250372103,0.0,0.43133820913285714,0.14233927744152847,0.1106390409218933,0.0,0.0
2,0.06989739143950578,0.09060279157061675,0.588621209659667,0.3233875172854213,0.0,0.4252053705879287,0.14485254972236428,0.10655456240428567,0.0,0.0
3,0.07096201272097909,0.09062423764010147,0.6002295574649043,0.3310915620671217,0.0,0.4190725320430003,0.14736582200320003,0.10247008388667797,0.0,0.0
4,0.07202663400245236,0.09065996981552105,0.61173600044913,0.33879560684882204,0.0,0.41293969349807186,0.14987909428403576,0.0983856053690703,0.0,0.0
5,0.07309125528392563,0.09070997121426856,0.6231353384926189,0.34649965163052227,0.0,0.40680685495314356,0.1523923665648715,0.09430112685146266,0.0,0.0
6,0.07415587656539893,0.09077421825648689,0.6344225376418137,0.3542036964122227,0.0,0.4006740164082151,0.1549056388457073,0.09021664833385495,0.0,0.0
7,0.0752204978468722,0.09085268072049302,0.645592741073356,0.3619077411939229,0.0,0.39454117786328674,0.15741891112654302,0.08613216981624734,0.0,0.0
8,0.07628511912834547,0.09094532181351613,0.6566412792967165,0.3696117859756232,0.0,0.38840833931835833,0.15993218340737878,0.08204769129863969,0.0,0.0
9,0.07734974040981876,0.09105209825736482,0.6675636795468973,0.3773158307573236,0.0,0.38227550077342987,0.16244545568821453,0.07796321278103192,0.0,0.0
10,0.07841436169129205,0.09117296038856183,0.678355674325395,0.3850198755390239,0.0,0.3761426622285014,0.16495872796905042,0.07387873426342421,0.0,0.0
11,0.07947898297276533,0.09130785227241059,0.6890132090546186,0.39272392032072423,0.0,0.370009823683573,0.16747200024988612,0.06979425574581657,0.0,0.0
12,0.0805436042542386,0.09145671183039049,0.6995324488181827,0.4004279651024246,0.0,0.3638769851386446,0.16998527253072185,0.06570977722820892,0.0,0.0
13,0.08160822553571188,0.09161947098021501,0.7099097841668479,0.40813200988412485,0.0,0.3577441465937163,0.17249854481155763,0.061625298710601274,0.0,0.0
14,0.08267284681718517,0.09179605578783043,0.7201418359772526,0.4158360546658253,0.0,0.3516113080487878,0.17501181709239338,0.05754082019299357,0.0,0.0
