roll_period_years,Current Portfolio_average_pct,Current Portfolio_high_pct,Current Portfolio_low_pct,KAW Core Revised Internal_average_pct,KAW Core Revised Internal_high_pct,KAW Core Revised Internal_low_pct,QQQ 100%_average_pct,QQQ 100%_high_pct,QQQ 100%_low_pct,benchmark_average_pct,benchmark_high_pct,benchmark_low_pct
1,19.768554481388996,55.199291278206644,-5.086937679539139,11.564776094941143,44.367059095391916,-12.801375131805425,24.352338283830164,57.92840521669853,-27.823402273623422,18.277306038339816,47.401681246345184,-13.336279446010678
3,18.45565114655465,35.76320840113058,7.439315796158996,10.21685053644193,21.636328740606146,2.2657238042022465,22.891543079694113,41.266610502676684,9.983107608362229,17.338240198812148,28.678219107635993,7.2992102780074175
5,18.29134637523978,25.212464995067286,12.86511585624166,9.977137279285968,13.488325645824117,7.15235691624454,22.703740118376484,28.83243054664515,15.62878159740746,17.437048200287098,23.081901126166436,11.415869221447995
7,18.207027145235756,24.973734506448242,13.178027289802108,10.041184659053439,14.732993261096627,6.954522779427075,22.49262535981526,27.82911371413721,15.28815946935902,17.108940053845505,21.49713494300287,12.502752320095034
