portfolio,rank,start,bottom,recovery,maximum_drawdown,duration_months,decline_months,recovery_months,underwater_months,annualized_recovery_rate
Current Portfolio,1,2026-07-31,2026-07-31,,-0.1045851526207694,2,1,,2,
Current Portfolio,2,2020-09-30,2020-10-31,2021-03-31,-0.10168349359887718,7,2,5.0,7,0.2935091000420047
Current Portfolio,3,2020-02-29,2020-03-31,2020-04-30,-0.09178604288224079,3,2,1.0,3,2.174986913346865
Current Portfolio,4,2018-09-30,2018-12-31,2019-03-31,-0.08556888770785231,7,4,3.0,7,0.43019753208272227
Current Portfolio,5,2022-04-30,2022-06-30,2023-03-31,-0.08289137687837367,12,3,9.0,12,0.1222913891256463
Current Portfolio,6,2018-02-28,2018-03-31,2018-06-30,-0.04878473994293997,5,2,3.0,5,0.22147551089115214
Current Portfolio,7,2022-01-31,2022-01-31,2022-03-31,-0.03517371737926134,3,1,2.0,3,0.23966759006097593
Current Portfolio,8,2016-03-31,2016-03-31,2016-05-31,-0.034779636932865454,3,1,2.0,3,0.23663389699568693
Current Portfolio,9,2017-11-30,2017-11-30,2018-01-31,-0.02131589834256664,3,1,2.0,3,0.1380066487533005
Current Portfolio,10,2019-05-31,2019-05-31,2019-06-30,-0.020982436825273787,2,1,1.0,2,0.28977574270365536
Current Portfolio,11,2023-09-30,2023-10-31,2023-11-30,-0.01909959093936986,3,2,1.0,3,0.2603785755658401
Current Portfolio,12,2025-04-30,2025-04-30,2025-06-30,-0.01880627308989513,3,1,2.0,3,0.12065368168132595
Current Portfolio,13,2021-09-30,2021-09-30,2021-10-31,-0.01851174694814195,2,1,1.0,2,0.25134979461268125
Current Portfolio,14,2026-03-31,2026-03-31,2026-04-30,-0.01624726183105163,2,1,1.0,2,0.2172185152400825
Current Portfolio,15,2024-07-31,2024-08-31,2024-09-30,-0.014864060317042016,3,2,1.0,3,0.1968674078132837
Current Portfolio,16,2017-03-31,2017-03-31,2017-04-30,-0.013243715298238312,2,1,1.0,2,0.17349484611410015
Current Portfolio,17,2016-08-31,2016-08-31,2016-10-31,-0.012896777401798953,3,1,2.0,3,0.08099723096440781
Current Portfolio,18,2023-05-31,2023-05-31,2023-06-30,-0.00947160147045889,2,1,1.0,2,0.12097731581581139
Current Portfolio,19,2019-09-30,2019-10-31,2019-11-30,-0.008754746605420305,3,2,1.0,3,0.11128781286548528
Current Portfolio,20,2025-12-31,2025-12-31,2026-01-31,-0.008328283657614621,2,1,1.0,2,0.10556651945728945
Current Portfolio,21,2016-06-30,2016-06-30,2016-07-31,-0.0042831687056908985,2,1,1.0,2,0.05285804394378335
Current Portfolio,22,2017-01-31,2017-01-31,2017-02-28,-0.0019090076204349993,2,1,1.0,2,0.023194898226256422
Current Portfolio,23,2015-12-31,2015-12-31,2016-01-31,-0.0009372730639796156,2,1,1.0,2,0.011316099035461713
Current Portfolio,24,2016-11-30,2016-11-30,2016-12-31,-0.0008359965269651992,2,1,1.0,2,0.010086685101359238
KAW Core Revised Internal,1,2022-01-31,2022-12-31,2024-02-29,-0.1280137513180546,26,12,14.0,26,0.12458358613522402
KAW Core Revised Internal,2,2026-07-31,2026-07-31,,-0.11523766254883272,2,1,,2,
KAW Core Revised Internal,3,2020-09-30,2020-10-31,2021-05-31,-0.07221207799724816,9,2,7.0,9,0.1371092794426072
KAW Core Revised Internal,4,2018-02-28,2018-10-31,2019-03-31,-0.058596219162445506,14,9,5.0,14,0.1559465373447506
KAW Core Revised Internal,5,2025-04-30,2025-05-31,2025-08-31,-0.04851549058778837,5,2,3.0,5,0.2200934939805539
KAW Core Revised Internal,6,2020-03-31,2020-03-31,2020-04-30,-0.04088251588323644,2,1,1.0,2,0.6502065409779969
KAW Core Revised Internal,7,2016-03-31,2016-04-30,2016-05-31,-0.036891382299692355,3,2,1.0,3,0.5699895934156813
KAW Core Revised Internal,8,2016-08-31,2016-11-30,2017-04-30,-0.033572030885478,9,4,5.0,9,0.08540851278245087
KAW Core Revised Internal,9,2026-03-31,2026-03-31,2026-05-31,-0.030074811202167817,3,1,2.0,3,0.201076229120714
KAW Core Revised Internal,10,2017-11-30,2017-11-30,2018-01-31,-0.025793584100748612,3,1,2.0,3,0.1697527841775781
KAW Core Revised Internal,11,2019-09-30,2019-10-31,2020-01-31,-0.014555974613234435,5,2,3.0,5,0.06040595238633317
KAW Core Revised Internal,12,2024-08-31,2024-08-31,2024-09-30,-0.013118096716118854,2,1,1.0,2,0.17170363360483898
KAW Core Revised Internal,13,2025-12-31,2025-12-31,2026-01-31,-0.0062548971235074635,2,1,1.0,2,0.07820162522571228
KAW Core Revised Internal,14,2021-09-30,2021-09-30,2021-10-31,-0.004772027398449841,2,1,1.0,2,0.059080838541800906
KAW Core Revised Internal,15,2017-07-31,2017-07-31,2017-08-31,-0.004671205121905331,2,1,1.0,2,0.057794194699842594
KAW Core Revised Internal,16,2020-06-30,2020-06-30,2020-07-31,-0.0023588927512626645,2,1,1.0,2,0.02874555462880557
KAW Core Revised Internal,17,2025-01-31,2025-01-31,2025-02-28,-0.0013918350379765743,2,1,1.0,2,0.016854109015524976
KAW Core Revised Internal,18,2024-04-30,2024-04-30,2024-05-31,-0.001258472750656825,2,1,1.0,2,0.015225934723660073
QQQ 100%,1,2022-01-31,2022-12-31,2023-06-30,-0.2782340227362343,18,12,6.0,18,0.9195842913779095
QQQ 100%,2,2018-09-30,2018-12-31,2019-04-30,-0.1735578405411159,8,4,4.0,8,0.7715875048794631
QQQ 100%,3,2026-07-31,2026-07-31,,-0.142965957499969,2,1,,2,
QQQ 100%,4,2020-09-30,2020-10-31,2021-01-31,-0.13074216374868486,5,2,3.0,5,0.7514814500599218
QQQ 100%,5,2020-02-29,2020-03-31,2020-04-30,-0.10734612493096607,3,2,1.0,3,2.9066352505395936
QQQ 100%,6,2025-01-31,2025-04-30,2025-07-31,-0.10723139902330281,7,4,3.0,7,0.5741436789582477
QQQ 100%,7,2016-01-31,2016-04-30,2016-10-31,-0.09226286408308582,10,4,6.0,10,0.21361180997822848
QQQ 100%,8,2018-02-28,2018-03-31,2018-05-31,-0.06249345730052425,4,2,2.0,4,0.472835204402964
QQQ 100%,9,2019-05-31,2019-05-31,2019-07-31,-0.06243311655945827,3,1,2.0,3,0.4722665558857191
QQQ 100%,10,2023-09-30,2023-10-31,2023-11-30,-0.05396165751608717,3,2,1.0,3,0.9457862849937153
QQQ 100%,11,2024-07-31,2024-08-31,2024-10-31,-0.044681337064605975,4,2,2.0,4,0.3155592944226231
QQQ 100%,12,2025-12-31,2026-03-31,2026-04-30,-0.03874876103910729,5,4,1.0,5,0.6067823374804358
QQQ 100%,13,2021-09-30,2021-09-30,2021-10-31,-0.03622426351217134,2,1,1.0,2,0.5569982972016898
QQQ 100%,14,2017-11-30,2017-11-30,2018-01-31,-0.019121636245736928,3,1,2.0,3,0.12281723476903461
QQQ 100%,15,2024-04-30,2024-04-30,2024-05-31,-0.018474529322268562,2,1,1.0,2,0.25078052697604525
QQQ 100%,16,2021-05-31,2021-05-31,2021-06-30,-0.002486324922903238,2,1,1.0,2,0.030323727639733455
QQQ 100%,17,2019-08-31,2019-08-31,2019-10-31,-0.0017534349742177602,3,1,2.0,3,0.010585478154695682
benchmark,1,2020-02-29,2020-03-31,2020-07-31,-0.17409891918626053,6,2,4.0,6,0.7750716859277529
benchmark,2,2022-01-31,2022-06-30,2023-04-30,-0.1340307147450912,16,6,10.0,16,0.18849405548016707
